site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.502,120.90471,29,7,780,539
2,15.58777,120.85976,29,7,769,529
3,15.67305,120.89684,29,7,768,519
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
1,2010/01/01,24,4,0,136,5,1,N\A
1,2010/01/09,38,7,0,136,5,1,N\A
1,2010/01/17,59,12,0,136,3,1,N\A
1,2010/01/25,68,16,0,136,4,2,N\A
1,2010/02/02,77,21,0,128,3,2,N\A
1,2010/02/10,78,22,0,128,3,2,N\A
1,2010/02/18,77,25,0,136,3,3,N\A
1,2010/02/26,75,23,0,128,3,2,N\A
1,2010/03/06,73,23,0,192,3,2,N\A
1,2010/03/14,66,17,0,128,2,1,N\A
1,2010/03/22,59,15,0,192,3,1,N\A
1,2010/03/30,42,9,0,128,3,1,N\A
1,2010/04/07,31,7,0,136,6,2,N\A
1,2010/04/15,30,5,0,128,5,1,N\A
1,2010/04/23,25,5,16,128,6,1,N\A
1,2010/05/01,33,6,0,136,0,0,N\A
1,2010/05/09,34,7,0,192,4,1,N\A
1,2010/05/17,28,5,8,160,6,1,N\A
1,2010/05/25,34,7,8,192,5,1,N\A
1,2010/06/02,39,8,8,200,4,1,N\A
1,2010/06/10,47,10,8,136,4,1,N\A
1,2010/06/18,44,10,0,128,4,1,N\A
1,2010/06/26,31,7,0,128,4,1,N\A
1,2010/07/04,30,6,16,192,0,0,N\A
1,2010/07/12,14,2,8,176,7,1,N\A
1,2010/07/20,16,3,8,176,7,1,N\A
1,2010/07/28,22,4,8,160,5,1,N\A
1,2010/08/05,24,4,8,176,5,1,N\A
1,2010/08/13,36,7,8,176,5,1,N\A
1,2010/08/21,33,7,16,200,4,1,N\A
1,2010/08/29,54,15,16,192,3,1,N\A
1,2010/09/06,51,12,105,160,248,248,N\A
1,2010/09/14,66,18,0,200,3,2,N\A
1,2010/09/22,71,20,0,128,2,1,N\A
1,2010/09/30,66,17,0,128,2,1,N\A
1,2010/10/08,31,6,16,160,0,0,N\A
1,2010/10/16,53,13,0,128,2,1,N\A
1,2010/10/24,34,7,8,200,4,1,N\A
1,2010/11/01,34,7,8,192,4,1,N\A
1,2010/11/09,36,6,0,128,0,0,N\A
1,2010/11/17,29,6,8,200,1,0,N\A
1,2010/11/25,34,6,0,192,0,0,N\A
1,2010/12/03,38,7,0,128,4,1,N\A
1,2010/12/11,34,6,8,192,0,0,N\A
1,2010/12/19,36,6,0,128,0,0,N\A
1,2010/12/27,35,6,0,200,0,0,N\A
2,2010/01/01,24,4,0,128,5,1,N\A
2,2010/01/09,25,4,0,136,5,1,N\A
2,2010/01/17,46,8,0,128,0,0,N\A
2,2010/01/25,57,12,0,136,3,1,N\A
2,2010/02/02,74,19,0,136,3,2,N\A
2,2010/02/10,73,18,0,128,3,2,N\A
2,2010/02/18,77,26,0,136,3,2,N\A
2,2010/02/26,76,24,0,128,3,2,N\A
2,2010/03/06,74,24,0,192,3,3,N\A
2,2010/03/14,71,20,0,128,2,1,N\A
2,2010/03/22,60,15,0,128,3,1,N\A
2,2010/03/30,52,12,0,128,3,1,N\A
2,2010/04/07,39,7,0,128,5,1,N\A
2,2010/04/15,34,6,0,128,0,0,N\A
2,2010/04/23,26,5,8,128,5,1,N\A
2,2010/05/01,32,6,8,128,7,2,N\A
2,2010/05/09,37,7,16,136,5,1,N\A
2,2010/05/17,32,6,8,128,7,2,N\A
2,2010/05/25,44,9,8,136,3,1,N\A
2,2010/06/02,48,10,8,192,4,1,N\A
2,2010/06/10,54,12,8,136,3,1,N\A
2,2010/06/18,47,10,0,128,4,1,N\A
2,2010/06/26,36,7,16,136,5,1,N\A
2,2010/07/04,30,6,16,200,0,0,N\A
2,2010/07/12,34,7,8,160,4,1,N\A
2,2010/07/20,27,5,8,176,6,1,N\A
2,2010/07/28,43,11,16,136,3,1,N\A
2,2010/08/05,69,19,8,192,3,2,N\A
2,2010/08/13,73,26,16,200,3,2,N\A
