8,10.865556,-3.072778,17,7,3351,4384
9,13.2829,30.4783,20,7,4638,3224
id,Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_250m_quality_control_flags,actual_date
9,2011/10/08,2517,4029,4096,N\A
9,2011/10/16,2265,3637,4096,N\A
9,2011/10/24,2466,4000,4096,N\A
9,2011/11/01,2374,3835,4096,N\A
9,2011/11/09,2523,4057,4096,N\A
9,2011/11/17,2340,3541,4096,N\A
9,2011/11/25,2589,3928,4096,N\A
9,2011/12/03,2390,3580,4096,N\A
9,2011/12/11,2437,3564,4096,N\A
9,2011/12/19,2370,3473,4096,N\A
9,2011/12/27,2482,3656,4096,N\A
9,2012/01/01,2719,3961,4096,N\A
9,2012/01/09,2484,3610,4096,N\A
9,2012/01/17,2551,3703,4096,N\A
9,2012/01/25,2427,3531,4096,N\A
9,2012/02/02,2519,3583,4096,N\A
9,2012/02/10,2583,3728,4096,N\A
9,2012/02/18,3113,4131,4096,N\A
9,2012/02/26,3033,4073,4096,N\A
9,2012/03/05,2691,3811,4096,N\A
9,2012/03/13,2808,3962,4096,N\A
9,2012/03/21,2975,4097,4096,N\A
9,2012/03/29,2848,4029,4096,N\A
9,2012/04/06,2867,3953,4096,N\A
9,2012/04/14,3049,4012,4096,N\A
9,2012/04/22,2628,3745,4096,N\A
9,2012/04/30,2765,3839,4096,N\A
9,2012/05/08,2773,3891,4096,N\A
9,2012/05/16,3051,4013,4096,N\A
9,2012/05/24,2820,3900,4096,N\A
9,2012/06/01,2846,3909,4096,N\A
9,2012/06/09,2959,3941,4096,N\A
9,2012/06/17,2758,3920,4096,N\A
9,2012/06/25,3087,4147,4096,N\A
9,2012/07/03,3127,4374,4096,N\A
9,2012/07/11,3198,4637,4096,N\A
9,2012/07/19,2104,4341,4096,N\A
9,2012/07/27,1984,4980,4096,N\A
9,2012/08/04,1819,4617,4096,N\A
9,2012/08/12,1520,4244,4096,N\A
9,2012/08/20,1631,4284,4096,N\A
9,2012/08/28,1496,3902,4096,N\A
9,2012/09/05,1190,3610,4096,N\A
9,2012/09/13,1756,3979,4096,N\A
9,2012/09/21,1660,3390,4096,N\A
9,2012/09/29,2111,3868,4096,N\A
9,2012/10/07,2024,3577,4096,N\A
9,2012/10/15,1812,3122,4096,N\A
9,2012/10/23,2218,3631,4096,N\A
9,2012/10/31,2166,3496,4096,N\A
9,2012/11/08,2166,3440,4096,N\A
9,2012/11/16,2146,3353,4096,N\A
9,2012/11/24,2311,3596,4096,N\A
9,2012/12/02,2260,3517,4096,N\A
9,2012/12/10,2416,3730,4096,N\A
9,2012/12/18,2281,3527,4096,N\A
9,2012/12/26,2397,3627,4096,N\A
9,2013/01/01,2397,3627,4096,N\A
9,2013/01/09,2353,3592,4096,N\A
9,2013/01/17,2410,3581,4096,N\A
9,2013/01/25,2541,3825,4096,N\A
9,2013/02/02,2353,3548,4096,N\A
9,2013/02/10,2638,3883,4096,N\A
9,2013/02/18,2515,3744,4096,N\A
9,2013/02/26,2650,3821,4096,N\A
9,2013/03/06,2701,3993,4096,N\A
9,2013/03/14,2867,4193,4096,N\A
9,2013/03/22,2781,4017,4096,N\A
9,2013/03/30,3057,4386,4096,N\A
9,2013/04/07,2820,4078,4096,N\A
9,2013/04/15,3193,4517,4096,N\A
9,2013/04/23,2974,4246,4096,N\A
9,2013/05/01,3157,4455,4096,N\A
9,2013/05/09,3067,4381,4096,N\A
9,2013/05/17,2965,4261,4096,N\A
9,2013/05/25,2919,4069,4096,N\A
9,2013/06/02,2877,3956,4096,N\A
9,2013/06/10,2803,3894,4096,N\A
9,2013/06/18,2922,4165,4096,N\A
9,2013/06/26,3034,4247,4096,N\A
9,2013/07/04,2891,4109,4096,N\A
9,2013/07/12,2752,3850,4096,N\A
9,2013/07/20,2998,4280,4096,N\A
9,2013/07/28,2927,4457,4096,N\A
9,2013/08/05,3041,5095,4096,N\A
9,2013/08/13,2253,3983,4096,N\A
9,2013/08/21,2565,4734,4096,N\A
9,2013/08/29,1926,4091,4096,N\A
9,2013/09/06,2423,4633,4096,N\A
9,2013/09/14,2008,4238,4096,N\A
9,2013/09/22,1977,4220,4096,N\A
9,2013/09/30,2326,4114,4096,N\A
9,2013/10/08,2025,3564,4096,N\A
9,2013/10/16,2300,3890,4096,N\A
9,2013/10/24,2252,3637,4096,N\A
9,2013/11/01,2434,3885,4096,N\A
9,2013/11/09,2524,4056,4096,N\A
9,2013/11/17,2452,3851,4096,N\A
9,2013/11/25,2590,3985,4096,N\A
9,2013/12/03,2505,3833,4096,N\A
9,2013/12/11,2606,4011,4096,N\A
9,2013/12/19,2426,3749,4096,N\A
9,2013/12/27,2598,3953,4096,N\A
9,2014/01/01,2357,3672,4096,N\A
9,2014/01/09,2355,3699,4096,N\A
9,2014/01/17,2544,3855,4096,N\A
9,2014/01/25,2398,3653,4096,N\A
9,2014/02/02,2503,3836,4096,N\A
9,2014/02/10,2840,4250,4096,N\A
9,2014/02/18,2620,3917,4096,N\A
9,2014/02/26,2532,3763,4096,N\A
9,2014/03/06,2829,4129,4096,N\A
9,2014/03/14,2393,3647,4096,N\A
9,2014/03/22,2979,4290,4096,N\A
9,2014/03/30,2859,4061,4096,N\A
9,2014/04/07,2867,4043,4096,N\A
9,2014/04/15,2607,3767,4096,N\A
9,2014/04/23,2577,3632,4096,N\A
9,2014/05/01,2599,3771,4096,N\A
9,2014/05/09,2812,3989,4096,N\A
9,2014/05/17,2615,3738,4096,N\A
9,2014/05/25,2739,3929,4096,N\A
9,2014/06/02,2824,3906,4096,N\A
9,2014/06/10,2974,4227,4096,N\A
9,2014/06/18,2902,4060,4096,N\A
9,2014/06/26,2864,3984,4096,N\A
9,2014/07/04,3040,4134,4096,N\A
9,2014/07/12,2786,3912,4096,N\A
9,2014/07/20,2403,3751,4096,N\A
9,2014/07/28,2523,3929,4096,N\A
9,2014/08/05,2552,4443,4096,N\A
9,2014/08/13,2351,4198,4096,N\A
9,2014/08/21,1767,3812,4096,N\A
9,2014/08/29,1872,4082,4096,N\A
9,2014/09/06,1331,3557,4096,N\A
9,2014/09/14,1286,3653,4096,N\A
