site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,15.64448,121.036645,29,7,786,522
2,15.66082,120.998398,29,7,780,520
3,15.65759,120.914072,29,7,771,521
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
3,2010/06/26,27,5,8,160,5,1,N\A
3,2010/07/04,26,5,8,200,5,1,N\A
3,2010/07/12,12,2,8,176,6,1,N\A
3,2010/07/20,24,4,8,160,5,1,N\A
3,2010/07/28,38,7,8,160,5,1,N\A
3,2010/08/05,67,18,8,136,4,2,N\A
3,2010/08/13,79,32,16,192,3,3,N\A
3,2010/08/21,41,9,8,160,0,0,N\A
3,2010/08/29,52,13,105,176,248,248,N\A
3,2010/09/06,56,15,8,160,3,1,N\A
3,2010/09/14,71,25,0,128,3,2,N\A
3,2010/09/22,60,17,0,128,2,1,N\A
3,2010/09/30,56,15,8,200,3,1,N\A
3,2010/10/08,29,6,8,192,0,0,N\A
3,2010/10/16,39,7,8,128,5,1,N\A
3,2010/10/24,38,8,8,192,3,1,N\A
3,2010/11/01,28,5,8,160,5,1,N\A
3,2010/11/09,38,6,16,128,4,1,N\A
3,2010/11/17,32,7,8,136,4,1,N\A
3,2010/11/25,43,7,0,192,5,1,N\A
3,2010/12/03,40,7,0,128,5,1,N\A
3,2010/12/11,26,4,8,176,5,1,N\A
3,2010/12/19,15,2,16,160,8,1,N\A
3,2010/12/27,8,1,16,192,0,0,N\A
