1,2012/10/07,273,3027,4096,N\A
1,2012/10/15,240,2630,4096,N\A
1,2012/10/23,930,4063,4096,N\A
1,2012/10/31,147,2914,4096,N\A
1,2012/11/08,469,3305,4096,N\A
1,2012/11/16,301,3050,4096,N\A
1,2012/11/24,219,2836,4096,N\A
1,2012/12/02,295,2695,4096,N\A
1,2012/12/10,262,3593,4096,N\A
1,2012/12/18,264,3278,4096,N\A
1,2012/12/26,138,3727,4096,N\A
1,2013/01/01,455,2186,4096,N\A
1,2013/01/09,331,2753,4096,N\A
1,2013/01/17,280,2129,4096,N\A
1,2013/01/25,460,2772,4096,N\A
1,2013/02/02,370,2314,4096,N\A
1,2013/02/10,5138,6299,4096,N\A
1,2013/02/18,617,2036,4096,N\A
1,2013/02/26,766,2281,4096,N\A
1,2013/03/06,644,2428,4096,N\A
1,2013/03/14,560,3036,4096,N\A
1,2013/03/22,613,3252,4096,N\A
1,2013/03/30,575,3444,4096,N\A
1,2013/04/07,469,3443,4096,N\A
1,2013/04/15,488,4520,4096,N\A
1,2013/04/23,434,3509,4096,N\A
1,2013/05/01,804,4290,4096,N\A
1,2013/05/09,321,3302,4096,N\A
1,2013/05/17,418,3320,4096,N\A
1,2013/05/25,670,3661,4096,N\A
1,2013/06/02,405,3923,4096,N\A
1,2013/06/10,2431,3931,4096,N\A
1,2013/06/18,203,3496,4096,N\A
1,2013/06/26,373,3953,4096,N\A
1,2013/07/04,325,3510,4096,N\A
1,2013/07/12,300,4143,4096,N\A
1,2013/07/20,3409,4840,4096,N\A
1,2013/07/28,295,4056,4096,N\A
1,2013/08/05,371,3488,4096,N\A
1,2013/08/13,4623,5609,4096,N\A
1,2013/08/21,4731,6475,4096,N\A
1,2013/08/29,1219,4152,4096,N\A
1,2013/09/06,858,4177,4096,N\A
1,2013/09/14,554,2437,4096,N\A
1,2013/09/22,867,3866,4096,N\A
1,2013/09/30,227,3167,4096,N\A
1,2013/10/08,280,3931,4096,N\A
1,2013/10/16,790,3209,4096,N\A
1,2013/10/24,305,3607,4096,N\A
1,2013/11/01,312,3176,4096,N\A
1,2013/11/09,3529,3641,4096,N\A
1,2013/11/17,3885,4800,4096,N\A
1,2013/11/25,248,2859,4096,N\A
1,2013/12/03,285,2944,4096,N\A
1,2013/12/11,7553,7755,4096,N\A
1,2013/12/19,270,2364,4096,N\A
1,2013/12/27,461,2427,4096,N\A
2,2010/01/01,136,2036,4096,N\A
2,2010/01/09,-100,2705,4305,N\A
2,2010/01/17,564,1925,4096,N\A
2,2010/01/25,303,2599,4096,N\A
2,2010/02/02,405,2649,4096,N\A
2,2010/02/10,326,2108,4096,N\A
2,2010/02/18,425,2536,4096,N\A
2,2010/02/26,468,2108,4096,N\A
2,2010/03/06,599,2612,4096,N\A
2,2010/03/14,448,2210,4096,N\A
2,2010/03/22,407,2516,4096,N\A
2,2010/03/30,382,3022,4096,N\A
2,2010/04/07,415,3349,4096,N\A
2,2010/04/15,272,2795,4096,N\A
2,2010/04/23,1344,3269,4096,N\A
2,2010/05/01,363,3729,4096,N\A
2,2010/05/09,455,3508,4096,N\A
2,2010/05/17,229,3074,4096,N\A
2,2010/05/25,915,3366,4096,N\A
2,2010/06/02,679,4415,4096,N\A
2,2010/06/10,299,4454,4096,N\A
2,2010/06/18,719,4104,4096,N\A
2,2010/06/26,235,4397,4096,N\A
2,2010/07/04,281,4044,4096,N\A
2,2010/07/12,202,3716,4096,N\A
2,2010/07/20,1712,3831,4096,N\A
2,2010/07/28,410,4642,4096,N\A
2,2010/08/05,166,3102,4096,N\A
2,2010/08/13,201,3212,4096,N\A
2,2010/08/21,3843,5382,4096,N\A
2,2010/08/29,1893,4265,4096,N\A
2,2010/09/06,222,3288,4096,N\A
2,2010/09/14,128,2872,4096,N\A
2,2010/09/22,1231,3774,4096,N\A
2,2010/09/30,4406,5519,4096,N\A
2,2010/10/08,415,4291,4096,N\A
2,2010/10/16,1216,3624,4096,N\A
2,2010/10/24,263,3043,4096,N\A
2,2010/11/01,657,3486,4096,N\A
2,2010/11/09,879,2757,4096,N\A
2,2010/11/17,211,2969,4096,N\A
2,2010/11/25,3095,4348,4096,N\A
2,2010/12/03,403,2941,4096,N\A
2,2010/12/11,207,2737,4096,N\A
2,2010/12/19,244,2973,4096,N\A
2,2010/12/27,215,2671,4096,N\A
2,2011/01/01,811,2828,4096,N\A
2,2011/01/09,311,2518,4096,N\A
2,2011/01/17,835,2573,4096,N\A
2,2011/01/25,4117,5185,4096,N\A
2,2011/02/02,531,2170,4096,N\A
2,2011/02/10,764,2435,4096,N\A
2,2011/02/18,620,1863,4096,N\A
2,2011/02/26,520,1496,4096,N\A
2,2011/03/06,284,1440,4096,N\A
2,2011/03/14,599,2308,4096,N\A
2,2011/03/22,5696,6162,4096,N\A
2,2011/03/30,334,2456,4096,N\A
2,2011/04/07,4935,6188,4096,N\A
2,2011/04/15,439,2977,4096,N\A
2,2011/04/23,164,1860,4096,N\A
2,2011/05/01,302,2924,4096,N\A
2,2011/05/09,5406,6295,4096,N\A
2,2011/05/17,635,3080,4096,N\A
2,2011/05/25,858,3637,4096,N\A
2,2011/06/02,327,4813,4096,N\A
2,2011/06/10,342,4933,4096,N\A
2,2011/06/18,2257,3454,4096,N\A
2,2011/06/26,271,4884,4096,N\A
2,2011/07/04,188,3759,4096,N\A
2,2011/07/12,1791,4166,4096,N\A
2,2011/07/20,325,4842,4096,N\A
2,2011/07/28,8145,-28672,7683,N\A
2,2011/08/05,333,4788,4096,N\A
2,2011/08/13,102,2412,4096,N\A
2,2011/08/21,1413,4017,4096,N\A
2,2011/08/29,910,2883,4096,N\A
2,2011/09/06,1189,4130,4096,N\A
2,2011/09/14,146,3420,4096,N\A
2,2011/09/22,2303,3839,4096,N\A
2,2011/09/30,1731,3214,4096,N\A
2,2011/10/08,2468,3600,4096,N\A
2,2011/10/16,1394,3261,4096,N\A
2,2011/10/24,415,2721,4096,N\A
2,2011/11/01,3248,3070,4096,N\A
2,2011/11/09,335,2356,4096,N\A
2,2011/11/17,895,1582,4096,N\A
2,2011/11/25,372,2862,4096,N\A
2,2011/12/03,485,3189,4096,N\A
2,2011/12/11,444,3006,4096,N\A
2,2011/12/19,475,2810,4096,N\A
2,2011/12/27,2136,3289,4096,N\A
2,2012/01/01,2136,3289,4096,N\A
2,2012/01/09,3820,4757,4096,N\A
2,2012/01/17,247,2089,4096,N\A
2,2012/01/25,1920,3015,4096,N\A
2,2012/02/02,489,2655,4096,N\A
2,2012/02/10,2686,3827,4096,N\A
2,2012/02/18,540,2253,4096,N\A
2,2012/02/26,589,2493,4096,N\A
2,2012/03/05,736,2437,4096,N\A
2,2012/03/13,264,2086,4096,N\A
2,2012/03/21,400,2689,4096,N\A
2,2012/03/29,1705,2956,4096,N\A
2,2012/04/06,262,3018,4096,N\A
2,2012/04/14,306,3475,4096,N\A
2,2012/04/22,365,3883,4096,N\A
2,2012/04/30,410,4086,4096,N\A
2,2012/05/08,344,4010,4096,N\A
2,2012/05/16,1892,3585,4096,N\A
2,2012/05/24,1729,3230,4096,N\A
2,2012/06/01,842,3941,4096,N\A
2,2012/06/09,215,3436,4096,N\A
2,2012/06/17,1972,3418,4096,N\A
2,2012/06/25,298,3546,4096,N\A
2,2012/07/03,268,4309,4096,N\A
2,2012/07/11,243,3715,4096,N\A
2,2012/07/19,164,3086,4096,N\A
2,2012/07/27,410,4434,4096,N\A
2,2012/08/04,492,4779,4096,N\A
2,2012/08/12,480,3198,4096,N\A
2,2012/08/20,375,2466,4096,N\A
2,2012/08/28,551,4268,4096,N\A
2,2012/09/05,535,3285,4096,N\A
2,2012/09/13,212,3346,4096,N\A
2,2012/09/21,776,3420,4096,N\A
2,2012/09/29,256,3677,4096,N\A
2,2012/10/07,175,3653,4096,N\A
2,2012/10/15,238,3255,4096,N\A
2,2012/10/23,199,3549,4096,N\A
2,2012/10/31,161,3183,4096,N\A
2,2012/11/08,244,3134,4096,N\A
2,2012/11/16,170,2768,4096,N\A
2,2012/11/24,276,2952,4096,N\A
2,2012/12/02,220,2462,4096,N\A
2,2012/12/10,579,3163,4096,N\A
2,2012/12/18,657,2943,4096,N\A
2,2012/12/26,271,2956,4096,N\A
2,2013/01/01,1842,4001,4096,N\A
2,2013/01/09,300,2391,4096,N\A
2,2013/01/17,226,2039,4096,N\A
2,2013/01/25,359,2065,4096,N\A
2,2013/02/02,286,1676,4096,N\A
2,2013/02/10,670,2627,4096,N\A
2,2013/02/18,351,1262,4096,N\A
2,2013/02/26,546,1849,4096,N\A
2,2013/03/06,487,2132,4096,N\A
2,2013/03/14,390,2822,4096,N\A
2,2013/03/22,218,3260,4096,N\A
2,2013/03/30,433,3714,4096,N\A
2,2013/04/07,3168,4823,4096,N\A
