site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,45.8059,-90.0799,11,4,864,503
2,42.5378,-72.1715,12,4,818,895
id,Date,Fpar_1km,Lai_1km,FparLai_QC,FparExtra_QC,FparStdDev_1km,LaiStdDev_1km,actual_date
2,2005/10/16,39,6,0,64,0,0,N\A
2,2005/10/24,68,14,0,64,8,3,N\A
2,2005/11/01,64,12,0,64,8,3,N\A
2,2005/11/09,59,11,0,0,6,2,N\A
2,2005/11/17,54,9,0,0,6,2,N\A
2,2005/11/25,55,9,0,8,7,2,N\A
2,2005/12/03,50,8,0,72,8,2,N\A
2,2005/12/11,68,13,16,72,0,0,N\A
2,2005/12/19,57,10,0,72,9,3,N\A
2,2005/12/27,65,13,0,8,7,3,N\A
2,2006/01/01,37,6,0,72,5,1,N\A
2,2006/01/09,45,7,0,8,5,1,N\A
2,2006/01/17,58,10,0,8,8,2,N\A
2,2006/01/25,42,6,0,64,10,2,N\A
2,2006/02/02,55,10,0,0,8,2,N\A
2,2006/02/10,60,11,0,0,6,2,N\A
2,2006/02/18,54,9,0,0,8,2,N\A
2,2006/02/26,54,12,0,8,7,3,N\A
2,2006/03/06,54,12,0,8,8,3,N\A
2,2006/03/14,55,13,0,0,7,3,N\A
2,2006/03/22,56,13,0,0,9,3,N\A
2,2006/03/30,57,13,0,8,8,3,N\A
2,2006/04/07,54,12,0,0,7,3,N\A
2,2006/04/15,53,12,0,0,7,3,N\A
2,2006/04/23,55,15,0,0,7,3,N\A
2,2006/05/01,59,17,0,0,8,4,N\A
2,2006/05/09,2,0,105,32,248,248,N\A
2,2006/05/17,69,24,0,32,8,6,N\A
2,2006/05/25,89,51,32,0,4,11,N\A
2,2006/06/02,7,1,105,32,248,248,N\A
2,2006/06/10,92,59,32,8,1,6,N\A
2,2006/06/18,93,56,97,8,248,248,N\A
2,2006/06/26,27,7,0,64,4,1,N\A
2,2006/07/04,92,60,32,8,1,5,N\A
2,2006/07/12,94,67,32,8,0,2,N\A
2,2006/07/20,93,66,32,8,0,2,N\A
2,2006/07/28,89,52,32,72,4,10,N\A
2,2006/08/05,90,54,32,64,3,9,N\A
2,2006/08/13,91,57,32,0,2,8,N\A
2,2006/08/21,93,66,32,0,0,3,N\A
2,2006/08/29,36,8,105,48,248,248,N\A
2,2006/09/06,91,50,32,72,4,12,N\A
2,2006/09/14,90,47,32,8,5,13,N\A
2,2006/09/22,88,45,32,0,7,15,N\A
2,2006/09/30,87,43,32,64,8,15,N\A
2,2006/10/08,74,23,0,0,8,5,N\A
2,2006/10/16,67,14,0,0,8,3,N\A
2,2006/10/24,58,10,0,0,9,2,N\A
2,2006/11/01,53,9,0,0,7,2,N\A
2,2006/11/09,55,10,0,0,7,2,N\A
2,2006/11/17,52,9,0,0,7,2,N\A
2,2006/11/25,41,6,0,48,9,2,N\A
2,2006/12/03,53,9,0,0,7,2,N\A
2,2006/12/11,47,7,16,48,6,1,N\A
2,2006/12/19,52,9,0,0,7,2,N\A
2,2006/12/27,50,9,0,0,7,2,N\A
