138,42.7395,141.5149,28,4,472,871
139,34.55,126.57,28,5,509,654
140,37.7486,127.163,28,5,65,270
141,51.971,4.927,18,3,364,963
142,51.9536,4.90286,18,3,362,965
143,52.0031,4.8055,18,3,355,959
144,52.0289,5.0675,18,3,374,956
145,51.9536,4.9029,18,3,362,965
146,52.1679,5.74396,18,3,422,939
147,53.3989,6.356,18,3,454,792
148,51.65,4.639,18,3,345,1001
149,52.7622,16.3094,18,3,1184,868
150,38.6394,-8.6018,17,5,393,163
151,38.5407,-8.0004,17,5,449,175
152,38.4765,-8.02455,17,5,446,182
153,68.6147,161.339,23,2,1059,166
154,70.6167,147.883,22,1,1089,1125
155,56.46167,32.92389,19,3,982,424
156,54.7253,90.0022,23,3,237,632
157,54.7731,89.9567,23,3,226,627
158,54.70455,89.07785,23,3,176,635
159,60.8008,89.3508,22,2,430,1103
160,68.36239,18.79475,18,2,831,196
161,64.1833,19.55,18,2,1021,698
162,56.2655,13.5535,18,3,903,448
163,64.1128,19.4569,18,2,1019,706
164,60.086497,17.479502,18,2,1046,1189
165,60.125,17.9181,18,2,1071,1185
166,60.12967,17.84006,18,2,1066,1184
167,68.3667,19.049694,18,2,842,195
168,49.1208,20.1635,19,4,383,105
169,24.0312,120.688,29,6,27,716
170,55.7917,-3.23889,17,3,981,504
171,55.866,-3.20578,17,3,984,496
172,55.90694,-2.85861,17,3,1007,491
173,56.60722,-3.79806,17,3,949,407
174,51.1208,-0.86083,17,3,1135,1065
175,51.7838,-0.47608,17,3,1164,985
176,51.45,-1.26667,17,3,1105,1025
177,51.2071,-2.82864,17,3,987,1055
178,35.5497,-98.0402,10,5,28,534
179,35.54649,-98.04,10,5,27,534
180,36.6058,-97.4888,10,5,208,407
181,70.4696,-157.409,12,1,885,1143
182,31.5907,-110.51,8,5,703,1009
183,44.0646,-71.28808,12,4,1053,712
184,44.3453,-96.8362,11,4,89,678
185,38.8952,-120.63275,8,5,733,132
186,63.9198,-145.378,11,2,730,729
187,63.9198,-145.378,11,2,730,729
188,63.9227,-145.744,11,2,712,729
189,40.0062,-88.2904,11,4,284,1199
190,40.009,-88.29,11,4,284,1198
191,71.3225,-156.6259,12,1,1181,1041
192,39.0633,-79.4208,11,5,1000,112
193,35.9712,-79.0934,11,5,718,483
194,35.9736,-79.1004,11,5,718,483
195,35.9782,-79.0942,11,5,719,482
196,35.1426,-111.7273,8,5,1036,582
197,48.3077,-105.1019,11,4,11,203
198,29.9495,-97.9962,9,6,610,6
199,35.089,-111.762,8,5,1025,589
200,35.4454,-111.7718,8,5,1073,546
201,34.2547,-89.8735,10,5,685,689
202,42.5378,-72.1715,12,4,818,895
203,42.5393,-72.1779,12,4,818,895
204,45.2041,-68.7402,13,4,188,575
205,45.2091,-68.747,13,4,187,574
206,41.8593,-88.2227,11,4,515,976
207,41.8406,-88.241,11,4,511,979
208,68.4865,-155.75,12,2,345,181
