1,36.690822481,118.712596893,27,5,1246,794
2,36.7231130556,118.60625267,27,5,1216,786
3,36.7352202425,118.585481644,27,5,1208,783
id,Date,Solar_zenith,Surface_reflectance_500m_state_flags,View_zenith,Surface_reflectance_day_of_year,Surface_reflectance_500m_quality_control_flags,Relative_azimuth,Surface_reflectance_for_band_7,Surface_reflectance_for_band_6,Surface_reflectance_for_band_5,Surface_reflectance_for_band_4,Surface_reflectance_for_band_3,Surface_reflectance_for_band_2,Surface_reflectance_for_band_1,actual_date
1,2010/03/14,4084,202,1209,77,1073741824,12453,1345,2002,2084,974,645,1943,1075,2010/03/18
1,2010/03/22,3753,202,2310,84,1073741824,12649,1773,2345,2606,1185,662,2299,1312,2010/03/25
1,2010/03/30,3458,202,1199,93,1073741824,12776,1878,2513,2767,1290,740,2609,1370,2010/04/03
1,2010/04/07,3581,202,3308,97,1073741824,-4418,1796,2553,2727,1429,884,2806,1478,2010/04/07
1,2010/04/15,2880,200,1171,109,1073741824,13177,1732,2649,3427,1569,934,3542,1501,2010/04/19
1,2010/04/23,2763,200,2345,120,1073741824,-3830,1557,2557,3682,1194,625,3879,1145,2010/04/30
1,2010/05/01,2500,200,1224,127,1073741824,-3732,1758,2751,3856,1189,549,4046,1136,2010/05/07
1,2010/05/09,2158,201,2293,132,1073741824,13424,1613,2527,3282,1071,583,3636,1042,2010/05/12
1,2010/05/17,2196,202,1197,143,1075576835,-3076,1806,3018,-28672,1277,709,4528,1026,2010/05/23
1,2010/05/25,2360,200,3299,145,1073741824,-2826,1522,2606,3716,1036,474,3894,970,2010/05/25
1,2010/06/02,2058,201,1187,159,1073741824,-2811,2347,3363,3726,1481,900,3693,1531,2010/06/08
1,2010/06/10,1950,201,23,166,1073741824,-15775,2636,3359,3614,1326,695,3035,1382,2010/06/15
1,2010/06/18,2072,201,1187,175,1073741824,-2624,2554,3274,3296,1378,745,2839,1387,2010/06/24
1,2010/06/26,1816,201,2310,180,1073741824,14782,2803,3671,3790,1321,671,3696,1337,2010/06/29
1,2010/07/04,1792,205,3274,187,1073741824,14553,2524,3042,3168,1467,1311,2669,1429,2010/07/06
1,2010/07/12,2916,1289,5918,197,1073741824,-1999,1939,2619,2763,1959,1919,2620,1820,2010/07/16
1,2010/07/20,2428,8205,1206,207,1073741824,-2792,3888,4650,4908,3616,3302,4354,3732,2010/07/26
