site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,26.7478,115.0631,28,6,330,390
2,30.2536,80.1532,24,5,1108,1169
3,40.4536,90.8563,24,4,1096,1145
id,Date,MOD15A2 MODIS/Terra Gridded 1KM FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Leaf Area Index LAI (8-day composite),MOD15A2 MODIS/Terra QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra pass-through QC for FPAR and LAI (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation FPAR (8-day composite),MOD15A2 MODIS/Terra Gridded 1KM Standard Deviation Leaf Area Index (8-day composite),actual_date
3,2010/06/26,253,253,157,255,253,253,N\A
3,2010/07/04,253,253,157,255,253,253,N\A
3,2010/07/12,253,253,157,255,253,253,N\A
3,2010/07/20,253,253,157,255,253,253,N\A
3,2010/07/28,253,253,157,255,253,253,N\A
3,2010/08/05,253,253,157,255,253,253,N\A
3,2010/08/13,253,253,157,255,253,253,N\A
3,2010/08/21,253,253,157,255,253,253,N\A
3,2010/08/29,253,253,157,255,253,253,N\A
3,2010/09/06,253,253,157,255,253,253,N\A
3,2010/09/14,253,253,157,255,253,253,N\A
3,2010/09/22,253,253,157,255,253,253,N\A
3,2010/09/30,253,253,157,255,253,253,N\A
3,2010/10/08,253,253,157,255,253,253,N\A
3,2010/10/16,253,253,157,255,253,253,N\A
3,2010/10/24,253,253,157,255,253,253,N\A
3,2010/11/01,253,253,157,255,253,253,N\A
3,2010/11/09,253,253,157,255,253,253,N\A
3,2010/11/17,253,253,157,255,253,253,N\A
3,2010/11/25,253,253,157,255,253,253,N\A
3,2010/12/03,253,253,157,255,253,253,N\A
3,2010/12/11,253,253,157,255,253,253,N\A
3,2010/12/19,253,253,157,255,253,253,N\A
3,2010/12/27,253,253,157,255,253,253,N\A
