         88486 function calls (86039 primitive calls) in 0.412 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       20    0.000    0.000    0.000    0.000 dictconfig.py:218(convert)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
        1    0.000    0.000    0.000    0.000 client.py:1(<module>)
        9    0.000    0.000    0.000    0.000 options.py:239(_fill_fields_cache)
        1    0.000    0.000    0.000    0.000 core.py:2568(MaskedArray)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        1    0.000    0.000    0.000    0.000 dictconfig.py:536(configure_logger)
        1    0.000    0.000    0.000    0.000 message.py:90(Message)
        1    0.000    0.000    0.000    0.000 models.py:26(Product)
        1    0.000    0.000    0.000    0.000 __init__.py:242(close)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:297(prep_simple)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:591(__init__)
        6    0.000    0.000    0.000    0.000 options.py:269(_fill_m2m_cache)
        1    0.000    0.000    0.000    0.000 measure.py:87(Distance)
        8    0.000    0.000    0.000    0.000 coordseq.py:34(cs_operation)
       47    0.000    0.000    0.000    0.000 collections.py:61(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:631(contribute_to_class)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
      101    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'psycopg2._psycopg.connection' objects}
        1    0.000    0.000    0.000    0.000 functional.py:53(<module>)
        4    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 models.py:7(Datatype)
       46    0.000    0.000    0.000    0.000 abc.py:86(<genexpr>)
        2    0.000    0.000    0.000    0.000 query.py:99(__init__)
       10    0.000    0.000    0.000    0.000 manager.py:57(contribute_to_class)
        1    0.000    0.000    0.000    0.000 where.py:1(<module>)
        2    0.000    0.000    0.000    0.000 coordseq.py:27(cs_int)
        1    0.000    0.000    0.000    0.000 adapter.py:3(<module>)
      354    0.000    0.000    0.000    0.000 {cmp}
      166    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        9    0.000    0.000    0.000    0.000 dispatcher.py:214(_live_receivers)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
      9/5    0.000    0.000    0.000    0.000 abc.py:145(__subclasscheck__)
       30    0.000    0.000    0.000    0.000 dispatcher.py:8(_make_id)
       24    0.000    0.000    0.000    0.000 generation.py:43(int_output)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
      2/1    0.000    0.000    0.000    0.000 copy.py:232(_deepcopy_tuple)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       35    0.000    0.000    0.000    0.000 functional.py:96(wraps)
       73    0.000    0.000    0.000    0.000 sre_parse.py:73(__init__)
        9    0.000    0.000    0.000    0.000 geom.py:36(geom_output)
        1    0.000    0.000    0.000    0.000 io.py:5(<module>)
        2    0.000    0.000    0.000    0.000 fields.py:52(__init__)
        1    0.000    0.000    0.000    0.000 error.py:4(<module>)
        1    0.000    0.000    0.000    0.000 polygon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 geomtype.py:1(<module>)
      122    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:744(__init__)
        1    0.000    0.000    0.000    0.000 point.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:341(_add_integer_aliases)
        6    0.000    0.000    0.000    0.000 decimal.py:512(__new__)
        1    0.000    0.000    0.000    0.000 models.py:186(__new__)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 libgdal.py:86(gdal_version_info)
        2    0.000    0.000    0.000    0.000 __init__.py:496(__init__)
        1    0.000    0.000    0.000    0.000 loading.py:17(AppCache)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
        9    0.000    0.000    0.000    0.000 re.py:271(_subx)
        1    0.000    0.000    0.000    0.000 related.py:1004(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method match}
       10    0.000    0.000    0.000    0.000 functional.py:145(__proxy__)
        9    0.000    0.000    0.000    0.000 dictconfig.py:76(get)
      116    0.000    0.000    0.000    0.000 options.py:179(setup_pk)
        9    0.000    0.000    0.000    0.000 re.py:277(filter)
        2    0.000    0.000    0.000    0.000 __init__.py:597(__init__)
       74    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 base.py:103(__init__)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        2    0.000    0.000    0.000    0.000 geom.py:29(bin_output)
        2    0.000    0.000    0.000    0.000 fields.py:193(contribute_to_class)
       10    0.000    0.000    0.000    0.000 manager.py:50(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:750(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        5    0.000    0.000    0.000    0.000 related.py:899(contribute_to_related_class)
        1    0.000    0.000    0.000    0.000 locale.py:428(getdefaultlocale)
       53    0.000    0.000    0.000    0.000 {repr}
        2    0.000    0.000    0.000    0.000 tree.py:55(__deepcopy__)
        1    0.000    0.000    0.000    0.000 termcolors.py:3(<module>)
       14    0.000    0.000    0.000    0.000 generation.py:22(geom_output)
        6    0.000    0.000    0.000    0.000 geom.py:47(int_from_geom)
        1    0.000    0.000    0.000    0.000 geometry.py:32(GEOSGeometry)
        2    0.000    0.000    0.000    0.000 query.py:31(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 _os.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copycompat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dictconfig.py:518(common_logger_config)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        6    0.000    0.000    0.000    0.000 dictconfig.py:88(pop)
      173    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 rfc822.py:71(<module>)
        9    0.000    0.000    0.000    0.000 re.py:251(_compile_repl)
        1    0.000    0.000    0.000    0.000 threading.py:426(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:96(RLock)
        9    0.000    0.000    0.000    0.000 sre_parse.py:784(expand_template)
        9    0.000    0.000    0.000    0.000 {method 'items' of 'dictproxy' objects}
        2    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
      330    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:6(Polynomial)
        1    0.000    0.000    0.000    0.000 geometries.py:66(OGRGeometry)
        1    0.000    0.000    0.000    0.000 query.py:35(__init__)
        1    0.000    0.000    0.000    0.000 {_codecs.lookup}
        5    0.000    0.000    0.000    0.000 predicates.py:20(unary_predicate)
       38    0.000    0.000    0.000    0.000 util.py:24(__init__)
       11    0.000    0.000    0.000    0.000 generation.py:60(const_string_output)
        1    0.000    0.000    0.000    0.000 <string>:6(HermiteE)
        1    0.000    0.000    0.000    0.000 images.py:5(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Chebyshev)
        1    0.000    0.000    0.000    0.000 mimetypes.py:23(<module>)
        1    0.000    0.000    0.000    0.000 <string>:6(Legendre)
        4    0.000    0.000    0.000    0.000 prepared.py:16(prepared_predicate)
        1    0.000    0.000    0.000    0.000 <string>:6(Laguerre)
       14    0.000    0.000    0.000    0.000 operations.py:17(__init__)
        1    0.000    0.000    0.000    0.000 <string>:6(Hermite)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        4    0.000    0.000    0.000    0.000 optparse.py:609(_set_attrs)
        1    0.000    0.000    0.000    0.000 move.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {time.tzset}
       13    0.000    0.000    0.000    0.000 dispatcher.py:23(__init__)
        1    0.000    0.000    0.000    0.000 module_loading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        1    0.000    0.000    0.000    0.000 temp.py:10(<module>)
       71    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 libgdal.py:64(gdal_version)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
       11    0.000    0.000    0.000    0.000 generation.py:114(voidptr_output)
        1    0.000    0.000    0.000    0.000 __init__.py:469(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 misc.py:14(dbl_from_geom)
        6    0.000    0.000    0.000    0.000 __init__.py:194(_acquireLock)
        3    0.000    0.000    0.000    0.000 __init__.py:959(_fixupParents)
        1    0.000    0.000    0.000    0.000 mutable_list.py:10(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:4(<module>)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        6    0.000    0.000    0.000    0.000 core.py:1047(__init__)
        1    0.000    0.000    0.000    0.000 copy.py:300(_reconstruct)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
      173    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
      181    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 geomtype.py:4(OGRGeomType)
      113    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
        2    0.000    0.000    0.000    0.000 charset.py:199(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:48(Field)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_getintp_ctype)
       28    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 generation.py:73(string_output)
        1    0.000    0.000    0.000    0.000 query.py:27(QuerySet)
        4    0.000    0.000    0.000    0.000 operations.py:42(__init__)
        6    0.000    0.000    0.000    0.000 related.py:16(__init__)
       77    0.000    0.000    0.000    0.000 threadsafe.py:83(_set_errcheck)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 related.py:23(add_lazy_relation)
       56    0.000    0.000    0.000    0.000 utils.py:108(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:15(setup_loader)
        5    0.000    0.000    0.000    0.000 dictconfig.py:64(__getitem__)
        6    0.000    0.000    0.000    0.000 __init__.py:203(_releaseLock)
        4    0.000    0.000    0.000    0.000 threading.py:101(__init__)
       12    0.000    0.000    0.000    0.000 copy.py:261(_keep_alive)
       35    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 log.py:51(__init__)
        1    0.000    0.000    0.000    0.000 related.py:1123(contribute_to_related_class)
        1    0.000    0.000    0.000    0.000 deletion.py:74(Collector)
        1    0.000    0.000    0.000    0.000 importlib.py:2(<module>)
        8    0.000    0.000    0.000    0.000 geom.py:23(topology_func)
       10    0.000    0.000    0.000    0.000 datastructures.py:133(__setitem__)
        1    0.000    0.000    0.000    0.000 locale.py:382(_parse_localename)
        1    0.000    0.000    0.000    0.000 libgeos.py:104(geos_version_info)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       56    0.000    0.000    0.000    0.000 utils.py:93(_set_function_name)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 proxy.py:7(<module>)
       48    0.000    0.000    0.000    0.000 functional.py:53(curry)
        1    0.000    0.000    0.000    0.000 srs.py:38(SpatialReference)
        2    0.000    0.000    0.000    0.000 threading.py:176(Condition)
        1    0.000    0.000    0.000    0.000 __init__.py:363(PyDLL)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        6    0.000    0.000    0.000    0.000 threading.py:116(acquire)
      112    0.000    0.000    0.000    0.000 __init__.py:241(get_attname)
        1    0.000    0.000    0.000    0.000 version.py:15(_parse_version)
        5    0.000    0.000    0.000    0.000 importlib.py:4(_resolve_name)
        1    0.000    0.000    0.000    0.000 sre_parse.py:697(parse_template)
        9    0.000    0.000    0.000    0.000 core.py:2424(__init__)
       11    0.000    0.000    0.000    0.000 {locals}
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
        1    0.000    0.000    0.000    0.000 errcheck.py:4(<module>)
        1    0.000    0.000    0.000    0.000 query.py:84(Query)
        6    0.000    0.000    0.000    0.000 threading.py:136(release)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
        3    0.000    0.000    0.000    0.000 coordseq.py:53(cs_output)
        6    0.000    0.000    0.000    0.000 related.py:55(get_accessor_name)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 version.py:5(get_svn_revision)
        3    0.000    0.000    0.000    0.000 UserDict.py:61(setdefault)
        1    0.000    0.000    0.000    0.000 locale.py:316(normalize)
        1    0.000    0.000    0.000    0.000 threading.py:359(Event)
        3    0.000    0.000    0.000    0.000 io.py:83(wkb_writer_get)
        1    0.000    0.000    0.000    0.000 utils.py:1(FileProxyMixin)
        1    0.000    0.000    0.000    0.000 nosetester.py:109(NoseTester)
        1    0.000    0.000    0.000    0.000 fields.py:272(DecimalField)
        2    0.000    0.000    0.000    0.000 utf_8.py:15(decode)
        9    0.000    0.000    0.000    0.000 related.py:78(do_pending_lookups)
      117    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
        6    0.000    0.000    0.000    0.000 saferef.py:10(safeRef)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
        1    0.000    0.000    0.000    0.000 numerictypes.py:382(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 deletion.py:54(force_managed)
        9    0.000    0.000    0.000    0.000 datastructures.py:183(setdefault)
        2    0.000    0.000    0.000    0.000 threading.py:181(__init__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:324(_default_mime_types)
        1    0.000    0.000    0.000    0.000 threading.py:366(__init__)
      108    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 posixpath.py:59(join)
       47    0.000    0.000    0.000    0.000 collections.py:60(<genexpr>)
       40    0.000    0.000    0.000    0.000 validators.py:156(__init__)
        2    0.000    0.000    0.000    0.000 geom.py:21(bin_constructor)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        2    0.000    0.000    0.000    0.000 io.py:73(wkb_write_func)
        2    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        3    0.000    0.000    0.000    0.000 os.py:470(__setitem__)
        1    0.000    0.000    0.000    0.000 decimal.py:3669(Context)
       27    0.000    0.000    0.000    0.000 decimal.py:3715(<genexpr>)
        2    0.000    0.000    0.000    0.000 codecs.py:77(__new__)
        1    0.000    0.000    0.000    0.000 {function seed at 0x1c70c08}
       15    0.000    0.000    0.000    0.000 datastructures.py:142(__iter__)
        1    0.000    0.000    0.000    0.000 utils.py:65(ensure_defaults)
        1    0.000    0.000    0.000    0.000 __init__.py:383(BaseDatabaseOperations)
        3    0.000    0.000    0.000    0.000 nosetester.py:82(_docmethod)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        5    0.000    0.000    0.000    0.000 related.py:749(__init__)
        2    0.000    0.000    0.000    0.000 geom.py:43(geom_index)
        2    0.000    0.000    0.000    0.000 getlimits.py:234(__init__)
        2    0.000    0.000    0.000    0.000 io.py:51(wkb_read_func)
        1    0.000    0.000    0.000    0.000 _iotools.py:451(StringConverter)
        1    0.000    0.000    0.000    0.000 defmatrix.py:195(matrix)
       28    0.000    0.000    0.000    0.000 {sys._getframe}
        9    0.000    0.000    0.000    0.000 base.py:59(<genexpr>)
       10    0.000    0.000    0.000    0.000 manager.py:70(_set_creation_counter)
        9    0.000    0.000    0.000    0.000 base.py:63(<genexpr>)
        5    0.000    0.000    0.000    0.000 {filter}
        9    0.000    0.000    0.000    0.000 core.py:2430(getdoc)
        1    0.000    0.000    0.000    0.000 layer.py:21(Layer)
        1    0.000    0.000    0.000    0.000 formsets.py:31(BaseFormSet)
        1    0.000    0.000    0.000    0.000 models.py:980(ModelMultipleChoiceField)
        2    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        2    0.000    0.000    0.000    0.000 geom.py:57(string_from_geom)
        1    0.000    0.000    0.000    0.000 fields.py:8(GeometryField)
        1    0.000    0.000    0.000    0.000 widgets.py:298(ClearableFileInput)
        1    0.000    0.000    0.000    0.000 {open}
        2    0.000    0.000    0.000    0.000 __init__.py:614(createLock)
        1    0.000    0.000    0.000    0.000 datastructures.py:129(__deepcopy__)
       11    0.000    0.000    0.000    0.000 opcode.py:31(name_op)
        3    0.000    0.000    0.000    0.000 io.py:88(wkb_writer_set)
        3    0.000    0.000    0.000    0.000 {posix.putenv}
        5    0.000    0.000    0.000    0.000 generation.py:49(srs_output)
        1    0.000    0.000    0.000    0.000 files.py:19(FieldFile)
        4    0.000    0.000    0.000    0.000 __init__.py:1016(__init__)
        1    0.000    0.000    0.000    0.000 manager.py:46(Manager)
       36    0.000    0.000    0.000    0.000 sre_parse.py:211(tell)
        1    0.000    0.000    0.000    0.000 polygon.py:8(Polygon)
        2    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 dictconfig.py:510(add_handlers)
        4    0.000    0.000    0.000    0.000 validators.py:24(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:33(WeakValueDictionary)
       48    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 fields.py:457(FileField)
        2    0.000    0.000    0.000    0.000 functional.py:271(__init__)
        1    0.000    0.000    0.000    0.000 coordseq.py:12(GEOSCoordSeq)
        1    0.000    0.000    0.000    0.000 fields.py:61(Field)
        1    0.000    0.000    0.000    0.000 base.py:271(Model)
        4    0.000    0.000    0.000    0.000 optparse.py:588(_set_opt_strings)
        1    0.000    0.000    0.000    0.000 threading.py:414(Thread)
        3    0.000    0.000    0.000    0.000 geom.py:19(pnt_func)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        1    0.000    0.000    0.000    0.000 _iotools.py:231(NameValidator)
        1    0.000    0.000    0.000    0.000 saferef.py:36(BoundMethodWeakref)
        2    0.000    0.000    0.000    0.000 getlimits.py:259(max)
        1    0.000    0.000    0.000    0.000 query.py:1294(RawQuerySet)
       13    0.000    0.000    0.000    0.000 {built-in method acquire}
        1    0.000    0.000    0.000    0.000 threading.py:376(set)
        1    0.000    0.000    0.000    0.000 options.py:27(Options)
        1    0.000    0.000    0.000    0.000 fields.py:647(ChoiceField)
        1    0.000    0.000    0.000    0.000 driver.py:11(Driver)
        1    0.000    0.000    0.000    0.000 point.py:6(Point)
        1    0.000    0.000    0.000    0.000 query.py:1581(add_ordering)
        1    0.000    0.000    0.000    0.000 dictconfig.py:157(resolve)
        1    0.000    0.000    0.000    0.000 multipart.py:5(<module>)
        2    0.000    0.000    0.000    0.000 srs.py:15(units_func)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:891(ModelChoiceField)
        1    0.000    0.000    0.000    0.000 base64mime.py:25(<module>)
        9    0.000    0.000    0.000    0.000 util.py:127(truncate_name)
        1    0.000    0.000    0.000    0.000 numberformat.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:583(DateField)
        1    0.000    0.000    0.000    0.000 __init__.py:16(BaseDatabaseWrapper)
        1    0.000    0.000    0.000    0.000 numeric.py:2411(_setdef)
        1    0.000    0.000    0.000    0.000 forms.py:67(BaseForm)
        4    0.000    0.000    0.000    0.000 optparse.py:635(_check_type)
        1    0.000    0.000    0.000    0.000 datastructures.py:202(copy)
        9    0.000    0.000    0.000    0.000 query.py:1873(setup_join_cache)
        1    0.000    0.000    0.000    0.000 {math.exp}
        1    0.000    0.000    0.000    0.000 __init__.py:450(AutoField)
       27    0.000    0.000    0.000    0.000 decimal.py:3722(<genexpr>)
        1    0.000    0.000    0.000    0.000 base.py:9(BaseSpatialOperations)
        1    0.000    0.000    0.000    0.000 financial.py:8(<module>)
        8    0.000    0.000    0.000    0.000 threading.py:59(__init__)
        1    0.000    0.000    0.000    0.000 related.py:789(__init__)
       24    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 UserDict.py:57(get)
        1    0.000    0.000    0.000    0.000 envelope.py:27(Envelope)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
        1    0.000    0.000    0.000    0.000 query.py:10(GeoQuerySet)
        4    0.000    0.000    0.000    0.000 core.py:89(doc_note)
        1    0.000    0.000    0.000    0.000 dateformat.py:112(DateFormat)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       66    0.000    0.000    0.000    0.000 {id}
       22    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 smtplib.py:187(SMTP)
        1    0.000    0.000    0.000    0.000 forms.py:389(BoundField)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 query.py:1015(EmptyQuerySet)
        1    0.000    0.000    0.000    0.000 warnings.py:67(simplefilter)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        6    0.000    0.000    0.000    0.000 string.py:364(rfind)
        1    0.000    0.000    0.000    0.000 related.py:812(ForeignKey)
        1    0.000    0.000    0.000    0.000 mutable_list.py:11(ListMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:743(DecimalField)
       67    0.000    0.000    0.000    0.000 global_settings.py:6(<lambda>)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:45(__init__)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:223(MultiValueDict)
        7    0.000    0.000    0.000    0.000 opcode.py:35(jrel_op)
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 fields.py:219(IntegerField)
        1    0.000    0.000    0.000    0.000 core.py:5696(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:668(DateTimeField)
        1    0.000    0.000    0.000    0.000 fields.py:251(FloatField)
        1    0.000    0.000    0.000    0.000 widgets.py:723(MultiWidget)
       22    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 manager.py:4(GeoManager)
        1    0.000    0.000    0.000    0.000 polynomial.py:899(poly1d)
        1    0.000    0.000    0.000    0.000 fields.py:914(SplitDateTimeField)
        1    0.000    0.000    0.000    0.000 extras.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(SplitResult)
        1    0.000    0.000    0.000    0.000 httplib.py:1209(LineAndFileWrapper)
        6    0.000    0.000    0.000    0.000 tree.py:18(__init__)
       11    0.000    0.000    0.000    0.000 hashlib.py:92(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'cursor' of 'psycopg2._psycopg.connection' objects}
       37    0.000    0.000    0.000    0.000 abc.py:12(abstractmethod)
        1    0.000    0.000    0.000    0.000 {posix.read}
        1    0.000    0.000    0.000    0.000 io.py:149(WKBWriter)
        3    0.000    0.000    0.000    0.000 index_tricks.py:228(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 index_tricks.py:431(__init__)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 __init__.py:1039(TimeField)
        1    0.000    0.000    0.000    0.000 __init__.py:490(BooleanField)
        1    0.000    0.000    0.000    0.000 factory.py:1(<module>)
        2    0.000    0.000    0.000    0.000 warnings.py:345(__enter__)
        2    0.000    0.000    0.000    0.000 operations.py:9(__init__)
        1    0.000    0.000    0.000    0.000 urllib.py:115(URLopener)
        1    0.000    0.000    0.000    0.000 query.py:824(ValuesQuerySet)
        1    0.000    0.000    0.000    0.000 handlers.py:600(SysLogHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:928(NullBooleanField)
        1    0.000    0.000    0.000    0.000 expressions.py:6(ExpressionNode)
        1    0.000    0.000    0.000    0.000 calendar.py:66(_localized_day)
        1    0.000    0.000    0.000    0.000 httplib.py:638(HTTPConnection)
        1    0.000    0.000    0.000    0.000 ssl.py:83(SSLSocket)
        1    0.000    0.000    0.000    0.000 core.py:5690(MaskedConstant)
        1    0.000    0.000    0.000    0.000 base.py:5(GDALBase)
        1    0.000    0.000    0.000    0.000 base.py:84(DatabaseWrapper)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        7    0.000    0.000    0.000    0.000 UserDict.py:69(__contains__)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        5    0.000    0.000    0.000    0.000 related.py:114(set_attributes_from_rel)
        1    0.000    0.000    0.000    0.000 __init__.py:1001(Logger)
        1    0.000    0.000    0.000    0.000 datastructures.py:159(items)
        1    0.000    0.000    0.000    0.000 files.py:212(FileField)
        1    0.000    0.000    0.000    0.000 _internal.py:267(_ctypes)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 __init__.py:900(BigIntegerField)
        1    0.000    0.000    0.000    0.000 operations.py:8(DatabaseOperations)
        4    0.000    0.000    0.000    0.000 optparse.py:678(_check_dest)
        1    0.000    0.000    0.000    0.000 core.py:5500(mvoid)
        1    0.000    0.000    0.000    0.000 validators.py:19(RegexValidator)
       10    0.000    0.000    0.000    0.000 manager.py:206(__init__)
        4    0.000    0.000    0.000    0.000 optparse.py:579(_check_opt_strings)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 linestring.py:8(LineString)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:155(AddrlistClass)
        1    0.000    0.000    0.000    0.000 weakref.py:219(WeakKeyDictionary)
        7    0.000    0.000    0.000    0.000 libgeos.py:114(<genexpr>)
        3    0.000    0.000    0.000    0.000 functional.py:279(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:866(IntegerField)
        1    0.000    0.000    0.000    0.000 fields.py:41(GeometryField)
        1    0.000    0.000    0.000    0.000 ufunclike.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 threading.py:290(notifyAll)
        1    0.000    0.000    0.000    0.000 fields.py:572(URLField)
        1    0.000    0.000    0.000    0.000 fields.py:721(MultipleChoiceField)
