         88486 function calls (86039 primitive calls) in 0.412 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.005    0.005 http.py:1(<module>)
        1    0.004    0.004    0.005    0.005 laguerre.py:50(<module>)
        1    0.004    0.004    0.005    0.005 chebyshev.py:78(<module>)
        1    0.004    0.004    0.005    0.005 hermite.py:50(<module>)
        1    0.004    0.004    0.005    0.005 legendre.py:51(<module>)
        1    0.000    0.000    0.005    0.005 quoprimime.py:27(<module>)
        1    0.001    0.001    0.005    0.005 config.py:28(<module>)
        1    0.000    0.000    0.004    0.004 base.py:116(_cursor)
        1    0.002    0.002    0.004    0.004 __init__.py:38(<module>)
      154    0.001    0.000    0.004    0.000 inspect.py:791(getargspec)
        1    0.001    0.001    0.004    0.004 utils.py:5(<module>)
      136    0.003    0.000    0.004    0.000 __init__.py:75(__init__)
       49    0.003    0.000    0.004    0.000 sre_compile.py:264(_mk_bitmap)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 deletion.py:1(<module>)
        1    0.000    0.000    0.003    0.003 base.py:4(<module>)
        1    0.003    0.003    0.003    0.003 collections.py:1(<module>)
        1    0.000    0.000    0.003    0.003 base.py:134(SpatialRefSysMixin)
        2    0.000    0.000    0.003    0.001 aggregates.py:1(<module>)
        1    0.001    0.001    0.003    0.003 files.py:1(<module>)
        1    0.003    0.003    0.003    0.003 {psycopg2._psycopg.connect}
        1    0.001    0.001    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.003    0.003 validators.py:46(URLValidator)
        1    0.000    0.000    0.003    0.003 regex.py:1(<module>)
     5499    0.003    0.000    0.003    0.000 {isinstance}
       74    0.000    0.000    0.003    0.000 subclassing.py:12(call_with_connection)
      154    0.002    0.000    0.003    0.000 inspect.py:731(getargs)
        2    0.000    0.000    0.003    0.001 re.py:139(search)
     2460    0.001    0.000    0.003    0.000 sre_parse.py:201(match)
        1    0.002    0.002    0.003    0.003 httplib.py:67(<module>)
1784/1783    0.001    0.000    0.003    0.000 {getattr}
        1    0.002    0.002    0.003    0.003 SocketServer.py:120(<module>)
16350/15930    0.002    0.000    0.002    0.000 {len}
      214    0.000    0.000    0.002    0.000 __init__.py:350(__getattr__)
        2    0.000    0.000    0.002    0.001 related.py:1(<module>)
      117    0.000    0.000    0.002    0.000 __init__.py:234(contribute_to_class)
        2    0.001    0.000    0.002    0.001 query.py:1(<module>)
        1    0.001    0.001    0.002    0.002 smtp.py:1(<module>)
        2    0.001    0.000    0.002    0.001 __init__.py:7(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:84(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:6(<module>)
        1    0.000    0.000    0.002    0.002 dictconfig.py:21(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
      180    0.000    0.000    0.002    0.000 functional.py:238(__wrapper__)
        1    0.000    0.000    0.002    0.002 formats.py:1(<module>)
      447    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x354778b720}
      327    0.002    0.000    0.002    0.000 {range}
    11510    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.002    0.000 options.py:62(contribute_to_class)
      180    0.000    0.000    0.002    0.000 functional.py:153(__init__)
        1    0.000    0.000    0.002    0.002 libgeos.py:8(<module>)
      226    0.002    0.000    0.002    0.000 __init__.py:357(__getitem__)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dateformat.py:12(<module>)
        1    0.001    0.001    0.002    0.002 query.py:8(<module>)
        2    0.000    0.000    0.002    0.001 geom.py:1(<module>)
        3    0.000    0.000    0.002    0.001 signals.py:1(<module>)
        7    0.000    0.000    0.002    0.000 __init__.py:78(__getattr__)
        1    0.000    0.000    0.002    0.002 dictconfig.py:133(BaseConfigurator)
       99    0.000    0.000    0.002    0.000 threadsafe.py:28(__init__)
        2    0.002    0.001    0.002    0.001 {posix.popen}
       40    0.000    0.000    0.002    0.000 __init__.py:544(__init__)
        6    0.001    0.000    0.002    0.000 functional.py:166(__prepare_class__)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:88(<module>)
        1    0.000    0.000    0.002    0.002 hashcompat.py:5(<module>)
        2    0.001    0.000    0.002    0.001 util.py:4(<module>)
        1    0.000    0.000    0.002    0.002 text.py:5(<module>)
        1    0.001    0.001    0.001    0.001 dispatcher.py:1(<module>)
        2    0.000    0.000    0.001    0.001 fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nonmultipart.py:5(<module>)
        1    0.001    0.001    0.001    0.001 smtplib.py:33(<module>)
        1    0.001    0.001    0.001    0.001 ssl.py:56(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:3(<module>)
        1    0.000    0.000    0.001    0.001 models.py:74(Birds)
      117    0.000    0.000    0.001    0.000 options.py:157(add_field)
        9    0.000    0.000    0.001    0.000 base.py:220(_prepare)
       18    0.000    0.000    0.001    0.000 re.py:144(sub)
        1    0.001    0.001    0.001    0.001 threading.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _datasource.py:33(<module>)
        1    0.000    0.000    0.001    0.001 storage.py:1(<module>)
      330    0.001    0.000    0.001    0.000 sre_compile.py:360(_simple)
        3    0.001    0.000    0.001    0.000 {built-in method search}
       74    0.000    0.000    0.001    0.000 subclassing.py:34(call_with_connection_and_prepared)
        1    0.001    0.001    0.001    0.001 handlers.py:25(<module>)
        1    0.001    0.001    0.001    0.001 io.py:1(<module>)
     1369    0.001    0.000    0.001    0.000 sre_parse.py:144(append)
        1    0.001    0.001    0.001    0.001 message.py:5(<module>)
        9    0.000    0.000    0.001    0.000 options.py:20(<lambda>)
        1    0.001    0.001    0.001    0.001 numbers.py:6(<module>)
        1    0.001    0.001    0.001    0.001 loading.py:1(<module>)
        1    0.001    0.001    0.001    0.001 hashlib.py:72(<module>)
     1018    0.001    0.000    0.001    0.000 {hasattr}
        1    0.000    0.000    0.001    0.001 arraysetops.py:25(<module>)
        1    0.000    0.000    0.001    0.001 urllib2.py:816(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 coordseq.py:1(<module>)
        1    0.000    0.000    0.001    0.001 srs.py:28(<module>)
      982    0.001    0.000    0.001    0.000 {setattr}
     1560    0.001    0.000    0.001    0.000 sre_parse.py:132(__len__)
      552    0.001    0.000    0.001    0.000 string.py:158(convert)
        1    0.000    0.000    0.001    0.001 __init__.py:44(<module>)
       40    0.000    0.000    0.001    0.000 core.py:106(get_object_signature)
        1    0.000    0.000    0.001    0.001 dates.py:1(<module>)
     1757    0.001    0.000    0.001    0.000 {min}
        1    0.000    0.000    0.001    0.001 models.py:30(H5n1)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.000    0.000    0.001    0.001 decorators.py:15(<module>)
        1    0.001    0.001    0.001    0.001 mimetools.py:1(<module>)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        2    0.001    0.000    0.001    0.000 settings.py:1(<module>)
        1    0.001    0.001    0.001    0.001 tempfile.py:18(<module>)
       22    0.000    0.000    0.001    0.000 widgets.py:131(__new__)
       23    0.000    0.000    0.001    0.000 core.py:5915(__init__)
      278    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
        2    0.001    0.000    0.001    0.000 manager.py:1(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5919(getdoc)
        1    0.000    0.000    0.001    0.001 srs.py:1(<module>)
       10    0.000    0.000    0.001    0.000 dispatcher.py:149(send)
       46    0.001    0.000    0.001    0.000 __init__.py:239(POINTER)
        1    0.000    0.000    0.001    0.001 __init__.py:381(setup_environ)
        1    0.001    0.001    0.001    0.001 locks.py:16(<module>)
      117    0.000    0.000    0.001    0.000 {_bisect.bisect}
        2    0.000    0.000    0.001    0.000 version.py:3(<module>)
        1    0.001    0.001    0.001    0.001 weakref.py:6(<module>)
        1    0.001    0.001    0.001    0.001 arrayprint.py:4(<module>)
      805    0.001    0.000    0.001    0.000 sre_parse.py:96(__init__)
        1    0.000    0.000    0.001    0.001 numerictypes.py:300(_add_aliases)
      485    0.000    0.000    0.001    0.000 urllib.py:1180(<genexpr>)
       10    0.000    0.000    0.001    0.000 functional.py:137(lazy)
      261    0.000    0.000    0.001    0.000 sre_parse.py:263(_escape)
      485    0.000    0.000    0.001    0.000 urlparse.py:303(<genexpr>)
       56    0.000    0.000    0.001    0.000 utils.py:113(__call__)
        1    0.000    0.000    0.001    0.001 datetime_safe.py:10(<module>)
        3    0.000    0.000    0.001    0.000 creation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
        1    0.000    0.000    0.001    0.001 models.py:48(Tile)
       77    0.000    0.000    0.001    0.000 sre_parse.py:222(isname)
        1    0.001    0.001    0.001    0.001 bisect.py:1(<module>)
       18    0.001    0.000    0.001    0.000 base.py:919(subclass_exception)
        2    0.000    0.000    0.001    0.000 prepared.py:1(<module>)
        1    0.000    0.000    0.001    0.001 version.py:23(get_version)
        1    0.000    0.000    0.000    0.000 field.py:1(<module>)
        1    0.000    0.000    0.000    0.000 models.py:7(Dataset)
       35    0.000    0.000    0.000    0.000 functional.py:54(_curried)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
      117    0.000    0.000    0.000    0.000 __init__.py:228(set_attributes_from_name)
        1    0.000    0.000    0.000    0.000 operations.py:60(PostGISOperations)
        1    0.000    0.000    0.000    0.000 exceptions.py:3(<module>)
        1    0.000    0.000    0.000    0.000 predicates.py:4(<module>)
        1    0.000    0.000    0.000    0.000 topology.py:4(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        6    0.000    0.000    0.000    0.000 dispatcher.py:36(connect)
        1    0.000    0.000    0.000    0.000 htmlentitydefs.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:3(<module>)
        1    0.000    0.000    0.000    0.000 datastructures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 aggregates.py:3(<module>)
        5    0.000    0.000    0.000    0.000 abc.py:83(__new__)
      610    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
        9    0.000    0.000    0.000    0.000 manager.py:9(ensure_default_manager)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
     2092    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 manager.py:164(order_by)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
        1    0.000    0.000    0.000    0.000 unittest.py:44(<module>)
       24    0.000    0.000    0.000    0.000 functional.py:247(allow_lazy)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      378    0.000    0.000    0.000    0.000 functional.py:187(__promise__)
      110    0.000    0.000    0.000    0.000 sre_parse.py:231(_class_escape)
       35    0.000    0.000    0.000    0.000 functional.py:74(update_wrapper)
        4    0.000    0.000    0.000    0.000 operations.py:171(get_dist_ops)
