Date,Surface_reflectance_for_band_1,Surface_reflectance_for_band_2,Surface_reflectance_for_band_3,Surface_reflectance_for_band_4,Surface_reflectance_for_band_5,Surface_reflectance_for_band_6,Surface_reflectance_for_band_7,Surface_reflectance_500m_quality_control_flags,Solar_zenith,View_zenith,Relative_azimuth,Surface_reflectance_500m_state_flags,Surface_reflectance_day_of_year,actual_date,red,nir1,blue,green,nir2,swir1,swir2,NDVI,EVI,LSWI,LSWI2105,NDSI,NDWI1200,sur_refl_state_500m (binary),MOD35 cloud,cloud shadow,land/water flag,aerosol quantity,cirrus detected,internal cloud algorithm flag,internal fire algorithm flag,MOD35 snow/ice flag,Pixel is adjacent to cloud,BRDF correction performed,internal snow algorithm flag,Bad observation,Gap_fill_applied,GF_NDVI,GF_EVI,GF_LSWI,GF_LSWI2105 ,GF_NDSI,GF_NDWI1200
03/22/2014,3434,4681,1336,2437,6149,6408,6233,1073741824,2554,608,-1307,200,83,03/24/2014,0.3434,0.4681,0.1336,0.2437,0.6149,0.6408,0.6233,0.1536660505237215,0.12339204433010093,-0.15573992244566687,-0.14220267546270846,-0.4489542114188807,-0.1355493998153278,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.1536660505237215,0.12339204433010093,-0.15573992244566687,-0.14220267546270846,-0.4489542114188807,-0.1355493998153278
03/30/2014,3736,5062,1462,2669,6468,6809,6608,1073741824,2475,1994,-941,200,92,04/02/2014,0.3736,0.5062,0.1462,0.2669,0.6468,0.6809,0.6608,0.15071607183450783,0.12503300267793158,-0.14716536096369304,-0.1324764353041988,-0.4368010128719139,-0.12194275802254986,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15071607183450783,0.12503300267793158,-0.14716536096369304,-0.1324764353041988,-0.4368010128719139,-0.12194275802254986
04/07/2014,3335,4598,1355,2382,6108,6341,6121,1073741824,2195,590,-6,200,99,04/09/2014,0.3335,0.4598,0.1355,0.2382,0.6108,0.6341,0.6121,0.15920837009958402,0.1291648769712217,-0.15933814791114362,-0.1420841496408247,-0.45385761779204403,-0.1410424061274052,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15920837009958402,0.1291648769712217,-0.15933814791114362,-0.1420841496408247,-0.45385761779204403,-0.1410424061274052
04/15/2014,3322,4551,1350,2359,5501,6533,5764,1073741824,1942,865,-17870,200,106,04/16/2014,0.3322,0.4551,0.135,0.2359,0.5501,0.6533,0.5764,0.1561031373047123,0.12613925609655965,-0.17881631180079394,-0.11759573436742608,-0.4694107062528115,-0.09450855551134103,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.1561031373047123,0.12613925609655965,-0.17881631180079394,-0.11759573436742608,-0.4694107062528115,-0.09450855551134103
04/23/2014,3605,4907,1502,2574,5933,6917,6375,1073741824,2009,660,808,200,115,04/25/2014,0.3605,0.4907,0.1502,0.2574,0.5933,0.6917,0.6375,0.15296052631578946,0.12879867046533713,-0.1699932341001353,-0.1301187732671512,-0.45759140238120327,-0.09464944649446494,0000000011001000,clear,no,land,high,none,no cloud,no fire,no,no,no,no,No,No,0.15296052631578946,0.12879867046533713,-0.1699932341001353,-0.1301187732671512,-0.45759140238120327,-0.09464944649446494
05/01/2014,3607,4603,2255,2936,5617,5624,4857,1073741824,1400,4402,-15514,1544,127,05/07/2014,0.3607,0.4603,0.2255,0.2936,0.5617,0.5624,0.4857,0.12131546894031668,0.12879865511444458,-0.09983377334506698,-0.02684989429175476,-0.31401869158878504,-0.09921722113502936,0000011000001000,clear,no,land,climatology,average,cloud,no fire,no,no,no,no,No,No,0.12131546894031668,0.12879865511444458,-0.09983377334506698,-0.02684989429175476,-0.31401869158878504,-0.09921722113502936
05/09/2014,3430,4725,1408,2420,5695,6615,6124,1073741824,1589,3472,-14852,136,136,05/16/2014,0.343,0.4725,0.1408,0.242,0.5695,0.6615,0.6124,0.15879828326180256,0.13083451202263083,-0.16666666666666666,-0.1289519771407503,-0.4643054786939679,-0.09309021113243762,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15879828326180256,0.13083451202263083,-0.16666666666666666,-0.1289519771407503,-0.4643054786939679,-0.09309021113243762
05/17/2014,3257,4455,1343,2326,5712,6194,5945,1075838976,1517,4431,-14133,136,143,05/23/2014,0.3257,0.4455,0.1343,0.2326,0.5712,0.6194,0.5945,0.15534232365145229,0.12518547932036198,-0.16330171847121797,-0.14326923076923076,-0.4539906103286385,-0.12363529064620832,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15534232365145229,0.12518547932036198,-0.16330171847121797,-0.14326923076923076,-0.4539906103286385,-0.12363529064620832
05/25/2014,3510,4755,1394,2504,6128,6621,6143,1073741824,2082,543,3001,136,147,05/27/2014,0.351,0.4755,0.1394,0.2504,0.6128,0.6621,0.6143,0.15063520871143377,0.1227326498422713,-0.1640295358649789,-0.12736281886584694,-0.45117808219178085,-0.12616006615822842,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15063520871143377,0.1227326498422713,-0.1640295358649789,-0.12736281886584694,-0.45117808219178085,-0.12616006615822842
06/02/2014,3235,4439,1333,2320,5810,6317,5928,1073741824,2006,929,-14107,136,154,06/03/2014,0.3235,0.4439,0.1333,0.232,0.581,0.6317,0.5928,0.15689340630701068,0.1261975137832002,-0.17460022313127557,-0.14362882222436577,-0.4627764270001158,-0.1337691482095814,0000000010001000,clear,no,land,average,none,no cloud,no fire,no,no,no,no,No,No,0.15689340630701068,0.1261975137832002,-0.17460022313127557,-0.14362882222436577,-0.4627764270001158,-0.1337691482095814
