site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
1,49.694069,114.708312,25,4,502,36
2,39.872149,124.290871,27,5,645,14
3,29.187812,115.934329,28,6,144,96
4,28.865268,116.268557,28,6,217,135
id,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2007/05/17,213,27,5,13860,0,24,0,247,109,246,14903,46,N\A
1,2007/05/25,218,146,19,14126,17,63,0,247,112,245,15381,69,N\A
1,2007/06/02,220,255,30,14255,0,77,0,247,112,245,15252,64,N\A
1,2007/06/10,214,109,46,14188,65,32,0,247,111,245,15108,61,N\A
1,2007/06/18,221,191,178,14355,0,77,0,247,109,245,15306,46,N\A
1,2007/06/26,217,253,251,14465,0,52,0,247,113,246,15430,73,N\A
1,2007/07/04,220,23,234,14506,0,75,65,247,111,245,15418,65,N\A
1,2007/07/12,214,3,225,14342,0,38,0,247,115,245,15788,87,N\A
1,2007/07/20,221,242,22,14421,65,78,0,247,113,245,15490,73,N\A
1,2007/07/28,214,255,251,14639,0,37,0,247,114,246,15503,78,N\A
1,2007/08/05,216,192,161,14504,0,42,0,247,109,246,15307,45,N\A
1,2007/08/13,218,19,13,14568,0,66,65,247,112,245,15464,67,N\A
1,2007/08/21,221,242,121,14238,0,79,0,247,113,246,14996,73,N\A
1,2007/08/29,215,255,255,14262,0,43,0,247,114,245,15231,78,N\A
1,2007/09/06,217,255,246,14248,0,55,0,247,114,245,15087,78,N\A
1,2007/09/14,216,247,248,13994,0,49,0,247,111,246,14952,59,N\A
1,2007/09/22,216,214,250,13797,65,46,0,247,112,245,14492,69,N\A
1,2007/09/30,220,191,237,13629,0,79,0,247,112,246,14517,72,N\A
1,2007/10/08,217,251,255,13482,65,55,65,247,111,245,14226,58,N\A
1,2007/10/16,222,15,142,13374,65,85,0,247,114,246,13962,79,N\A
1,2007/10/24,218,27,29,13120,65,62,65,246,109,245,13789,46,N\A
1,2007/11/01,215,110,253,13193,65,45,0,247,116,245,13928,94,N\A
1,2007/11/09,217,159,255,12966,65,54,65,247,112,246,13657,69,N\A
1,2007/11/17,216,13,45,12569,65,51,65,248,112,247,13244,67,N\A
1,2007/11/25,218,0,55,12841,2,64,65,247,255,246,0,255,N\A
1,2007/12/03,213,249,248,12458,0,26,65,249,111,249,12746,60,N\A
1,2007/12/11,217,255,9,12541,0,53,65,250,112,251,12849,64,N\A
1,2007/12/19,216,223,88,12447,65,42,65,249,111,250,12643,61,N\A
1,2007/12/27,224,24,24,12488,0,98,0,247,112,249,12785,64,N\Aid,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2008/01/01,219,228,191,12365,0,68,81,247,109,246,12587,45,N\A
1,2008/01/09,219,212,124,11792,65,65,145,249,111,249,12325,62,N\A
1,2008/01/17,217,239,239,12115,65,51,81,248,109,248,12410,48,N\A
1,2008/01/25,216,255,255,12329,0,48,81,249,109,250,12764,44,N\A
1,2008/02/02,216,127,127,12290,0,46,17,248,109,248,12757,45,N\A
1,2008/02/10,218,20,222,12413,65,60,65,249,111,248,13052,60,N\A
1,2008/02/18,216,10,155,12579,65,50,0,248,112,248,13195,69,N\A
1,2008/02/26,213,194,231,13039,65,26,0,247,109,246,13831,48,N\A
1,2008/03/05,216,38,183,13199,65,45,0,247,114,246,14100,80,N\A
1,2008/03/13,214,101,62,13122,65,37,65,247,113,246,14087,74,N\A
1,2008/03/21,213,184,114,13206,65,31,0,247,111,246,14187,60,N\A
1,2008/03/29,212,172,174,13392,65,21,0,246,116,245,14314,97,N\A
1,2008/04/06,213,49,87,13267,65,27,65,247,116,246,14305,94,N\A
1,2008/04/14,216,30,113,13622,0,48,65,247,108,246,14812,35,N\A
1,2008/04/22,218,146,61,13520,65,60,65,247,113,245,14734,72,N\A
1,2008/04/30,217,10,179,13678,65,56,0,247,104,246,14734,11,N\A
1,2008/05/08,217,240,125,13870,0,53,0,247,113,245,15146,71,N\A
1,2008/05/16,218,68,36,13727,0,64,0,248,110,246,14848,51,N\A
1,2008/05/24,216,5,35,13970,65,48,0,247,105,245,14720,15,N\A
1,2008/06/01,211,248,45,14196,0,14,0,247,107,246,15154,37,N\A
1,2008/06/09,216,139,39,14315,0,45,0,247,109,245,15373,46,N\A
1,2008/06/17,211,1,128,14423,65,10,65,248,114,246,15092,87,N\A
1,2008/06/25,215,15,150,14522,65,33,65,247,109,245,14920,42,N\A
1,2008/07/03,214,93,55,14550,0,33,0,247,109,246,15106,49,N\A
1,2008/07/11,218,199,71,14459,0,55,0,247,109,246,15192,47,N\A
1,2008/07/19,223,151,105,14515,0,88,0,247,111,245,15346,63,N\A
1,2008/07/27,215,237,85,14556,0,33,0,247,109,245,15078,43,N\A
1,2008/08/04,216,213,109,14452,0,47,0,247,112,245,15217,67,N\A
1,2008/08/12,214,95,23,14437,0,30,0,247,114,246,15332,82,N\A
1,2008/08/20,217,52,218,14223,0,51,0,247,113,245,14676,76,N\A
1,2008/08/28,222,233,40,14118,0,92,0,247,110,245,14584,50,N\A
1,2008/09/05,216,138,197,13983,0,51,0,248,113,246,14572,76,N\A
1,2008/09/13,215,108,116,14028,0,40,0,247,110,246,14524,53,N\A
1,2008/09/21,216,231,123,13798,0,45,0,247,109,245,14368,50,N\A
1,2008/09/29,216,62,127,13683,65,46,65,247,111,246,14275,61,N\A
1,2008/10/07,219,251,124,13636,0,65,0,247,110,245,14273,57,N\A
1,2008/10/15,217,121,42,13543,0,62,65,247,112,245,14124,67,N\A
1,2008/10/23,215,108,184,13464,65,38,0,247,114,247,13695,82,N\A
1,2008/10/31,217,102,228,13125,65,50,0,247,111,246,13585,58,N\A
1,2008/11/08,212,166,39,13185,65,18,0,248,112,248,13555,72,N\A
1,2008/11/16,215,7,213,12843,65,39,0,248,108,247,13088,36,N\A
1,2008/11/24,218,193,38,13029,65,57,0,248,112,248,13391,72,N\A
1,2008/12/02,219,136,161,12707,65,68,81,248,109,247,12850,43,N\A
1,2008/12/10,220,164,202,12688,65,69,65,248,115,248,13186,91,N\A
1,2008/12/18,216,17,24,12671,0,40,0,246,107,245,13007,23,N\A
1,2008/12/26,215,49,59,12467,65,39,0,248,114,246,12898,82,N\Aid,Date,Night_view_time,Clear_sky_days,Clear_sky_nights,LST_Night_1km,QC_Day,Night_view_angl,QC_Night,Emis_32,Day_view_time,Emis_31,LST_Day_1km,Day_view_angl,real_date
1,2009/01/01,217,171,255,12285,65,49,81,249,111,248,12776,62,N\A
1,2009/01/09,215,214,246,12268,65,36,81,248,112,248,12744,68,N\A
1,2009/01/17,216,132,7,12174,65,47,81,249,116,250,12647,85,N\A
1,2009/01/25,217,95,252,12163,65,51,81,248,111,248,12805,58,N\A
1,2009/02/02,217,127,253,12447,65,54,0,249,111,249,12859,59,N\A
1,2009/02/10,218,65,192,12144,65,56,65,248,113,247,13026,76,N\A
1,2009/02/18,223,161,6,12148,65,89,81,250,109,251,12944,45,N\A
1,2009/03/06,217,128,95,12841,65,53,0,249,109,250,13284,41,N\A
1,2009/03/14,220,182,180,13125,65,69,0,248,114,247,13614,82,N\A
1,2009/03/22,219,136,245,13121,65,63,0,247,111,245,13785,61,N\A
1,2009/03/30,217,130,255,13488,0,48,0,247,112,246,14228,67,N\A
1,2009/04/07,221,127,185,13509,65,82,65,247,113,245,14556,75,N\A
1,2009/04/15,213,101,173,13529,65,23,65,247,111,246,14704,62,N\A
1,2009/04/23,216,28,118,13714,0,46,65,246,113,245,14944,72,N\A
1,2009/05/01,217,13,173,13823,0,46,0,247,112,245,14911,68,N\A
1,2009/05/09,219,118,46,13906,0,70,0,247,111,246,15043,59,N\A
1,2009/05/17,215,244,189,13999,65,38,0,247,108,245,15149,43,N\A
1,2009/05/25,215,195,139,14077,65,43,0,247,113,246,15162,71,N\A
1,2009/06/02,213,95,213,14183,65,26,0,247,111,246,15082,58,N\A
1,2009/06/10,217,61,81,14156,0,46,0,247,108,246,15153,40,N\A
1,2009/06/18,213,160,212,14234,0,29,0,248,102,246,15070,3,N\A
1,2009/06/26,219,112,72,14291,0,68,0,247,111,245,15064,61,N\A
1,2009/07/04,210,188,52,14291,65,12,65,248,110,246,14798,57,N\A
1,2009/07/12,218,60,154,14443,0,61,0,247,109,245,15012,42,N\A
1,2009/07/20,212,126,61,14548,0,19,0,247,109,246,15353,42,N\A
1,2009/07/28,216,228,50,14469,0,49,0,247,111,246,15223,58,N\A
1,2009/08/05,215,203,196,14473,0,39,0,247,108,245,15045,39,N\A
1,2009/08/13,221,165,165,14369,0,78,0,246,109,244,15075,38,N\A
1,2009/08/21,215,205,193,14097,0,42,0,248,112,246,14872,73,N\A
1,2009/08/29,217,22,218,14098,0,54,0,247,108,246,14976,42,N\A
1,2009/09/06,216,102,247,14030,0,48,0,247,109,245,14659,42,N\A
