site-id,lat,lon,tile-h,tile-v,pixel-col,pixel_row
14,2010/10/16,N\A
14,2010/11/01,N\A
14,2010/11/17,N\A
14,2010/12/03,N\A
14,2010/12/19,N\A
15,2010/01/01,N\A
15,2010/01/17,N\A
15,2010/02/02,N\A
15,2010/02/18,N\A
15,2010/03/06,N\A
15,2010/03/22,N\A
15,2010/04/07,N\A
15,2010/04/23,N\A
15,2010/05/09,N\A
15,2010/05/25,N\A
15,2010/06/10,N\A
15,2010/06/26,N\A
15,2010/07/12,N\A
15,2010/07/28,N\A
15,2010/08/13,N\A
15,2010/08/29,N\A
15,2010/09/14,N\A
15,2010/09/30,N\A
15,2010/10/16,N\A
15,2010/11/01,N\A
15,2010/11/17,N\A
15,2010/12/03,N\A
15,2010/12/19,N\A
16,2010/01/01,N\A
16,2010/01/17,N\A
16,2010/02/02,N\A
16,2010/02/18,N\A
16,2010/03/06,N\A
16,2010/03/22,N\A
16,2010/04/07,N\A
16,2010/04/23,N\A
16,2010/05/09,N\A
16,2010/05/25,N\A
16,2010/06/10,N\A
16,2010/06/26,N\A
16,2010/07/12,N\A
16,2010/07/28,N\A
16,2010/08/13,N\A
16,2010/08/29,N\A
16,2010/09/14,N\A
16,2010/09/30,N\A
16,2010/10/16,N\A
16,2010/11/01,N\A
16,2010/11/17,N\A
16,2010/12/03,N\A
16,2010/12/19,N\A
17,2010/01/01,N\A
17,2010/01/17,N\A
17,2010/02/02,N\A
17,2010/02/18,N\A
17,2010/03/06,N\A
17,2010/03/22,N\A
17,2010/04/07,N\A
17,2010/04/23,N\A
17,2010/05/09,N\A
17,2010/05/25,N\A
17,2010/06/10,N\A
17,2010/06/26,N\A
17,2010/07/12,N\A
17,2010/07/28,N\A
17,2010/08/13,N\A
17,2010/08/29,N\A
17,2010/09/14,N\A
17,2010/09/30,N\A
17,2010/10/16,N\A
17,2010/11/01,N\A
17,2010/11/17,N\A
17,2010/12/03,N\A
17,2010/12/19,N\A
18,2010/01/01,N\A
18,2010/01/17,N\A
18,2010/02/02,N\A
18,2010/02/18,N\A
18,2010/03/06,N\A
18,2010/03/22,N\A
18,2010/04/07,N\A
18,2010/04/23,N\A
18,2010/05/09,N\A
18,2010/05/25,N\A
18,2010/06/10,N\A
18,2010/06/26,N\A
18,2010/07/12,N\A
18,2010/07/28,N\A
18,2010/08/13,N\A
18,2010/08/29,N\A
18,2010/09/14,N\A
18,2010/09/30,N\A
18,2010/10/16,N\A
18,2010/11/01,N\A
18,2010/11/17,N\A
18,2010/12/03,N\A
18,2010/12/19,N\A
19,2010/01/01,N\A
19,2010/01/17,N\A
19,2010/02/02,N\A
19,2010/02/18,N\A
19,2010/03/06,N\A
19,2010/03/22,N\A
19,2010/04/07,N\A
19,2010/04/23,N\A
19,2010/05/09,N\A
19,2010/05/25,N\A
19,2010/06/10,N\A
19,2010/06/26,N\A
19,2010/07/12,N\A
19,2010/07/28,N\A
19,2010/08/13,N\A
19,2010/08/29,N\A
19,2010/09/14,N\A
19,2010/09/30,N\A
19,2010/10/16,N\A
19,2010/11/01,N\A
19,2010/11/17,N\A
19,2010/12/03,N\A
19,2010/12/19,N\A
20,2010/01/01,N\A
20,2010/01/17,N\A
20,2010/02/02,N\A
20,2010/02/18,N\A
20,2010/03/06,N\A
20,2010/03/22,N\A
20,2010/04/07,N\A
20,2010/04/23,N\A
20,2010/05/09,N\A
20,2010/05/25,N\A
20,2010/06/10,N\A
20,2010/06/26,N\A
20,2010/07/12,N\A
20,2010/07/28,N\A
20,2010/08/13,N\A
20,2010/08/29,N\A
20,2010/09/14,N\A
20,2010/09/30,N\A
20,2010/10/16,N\A
20,2010/11/01,N\A
20,2010/11/17,N\A
20,2010/12/03,N\A
20,2010/12/19,N\A
21,2010/01/01,N\A
21,2010/01/17,N\A
21,2010/02/02,N\A
21,2010/02/18,N\A
21,2010/03/06,N\A
21,2010/03/22,N\A
21,2010/04/07,N\A
21,2010/04/23,N\A
21,2010/05/09,N\A
21,2010/05/25,N\A
21,2010/06/10,N\A
21,2010/06/26,N\A
21,2010/07/12,N\A
21,2010/07/28,N\A
21,2010/08/13,N\A
21,2010/08/29,N\A
21,2010/09/14,N\A
21,2010/09/30,N\A
21,2010/10/16,N\A
21,2010/11/01,N\A
21,2010/11/17,N\A
21,2010/12/03,N\A
21,2010/12/19,N\A
22,2010/01/01,N\A
22,2010/01/17,N\A
22,2010/02/02,N\A
22,2010/02/18,N\A
22,2010/03/06,N\A
22,2010/03/22,N\A
22,2010/04/07,N\A
22,2010/04/23,N\A
22,2010/05/09,N\A
22,2010/05/25,N\A
22,2010/06/10,N\A
22,2010/06/26,N\A
22,2010/07/12,N\A
22,2010/07/28,N\A
22,2010/08/13,N\A
22,2010/08/29,N\A
22,2010/09/14,N\A
22,2010/09/30,N\A
22,2010/10/16,N\A
22,2010/11/01,N\A
22,2010/11/17,N\A
22,2010/12/03,N\A
22,2010/12/19,N\A
23,2010/01/01,N\A
23,2010/01/17,N\A
23,2010/02/02,N\A
23,2010/02/18,N\A
23,2010/03/06,N\A
23,2010/03/22,N\A
23,2010/04/07,N\A
23,2010/04/23,N\A
23,2010/05/09,N\A
23,2010/05/25,N\A
23,2010/06/10,N\A
23,2010/06/26,N\A
23,2010/07/12,N\A
23,2010/07/28,N\A
23,2010/08/13,N\A
23,2010/08/29,N\A
23,2010/09/14,N\A
23,2010/09/30,N\A
23,2010/10/16,N\A
23,2010/11/01,N\A
23,2010/11/17,N\A
23,2010/12/03,N\A
23,2010/12/19,N\A
24,2010/01/01,N\A
24,2010/01/17,N\A
24,2010/02/02,N\A
24,2010/02/18,N\A
24,2010/03/06,N\A
24,2010/03/22,N\A
24,2010/04/07,N\A
24,2010/04/23,N\A
24,2010/05/09,N\A
24,2010/05/25,N\A
24,2010/06/10,N\A
24,2010/06/26,N\A
24,2010/07/12,N\A
24,2010/07/28,N\A
24,2010/08/13,N\A
24,2010/08/29,N\A
24,2010/09/14,N\A
24,2010/09/30,N\A
24,2010/10/16,N\A
24,2010/11/01,N\A
24,2010/11/17,N\A
24,2010/12/03,N\A
24,2010/12/19,N\A
25,2010/01/01,N\A
25,2010/01/17,N\A
25,2010/02/02,N\A
25,2010/02/18,N\A
25,2010/03/06,N\A
25,2010/03/22,N\A
25,2010/04/07,N\A
25,2010/04/23,N\A
25,2010/05/09,N\A
25,2010/05/25,N\A
25,2010/06/10,N\A
25,2010/06/26,N\A
25,2010/07/12,N\A
25,2010/07/28,N\A
25,2010/08/13,N\A
25,2010/08/29,N\A
25,2010/09/14,N\A
25,2010/09/30,N\A
25,2010/10/16,N\A
25,2010/11/01,N\A
25,2010/11/17,N\A
25,2010/12/03,N\A
25,2010/12/19,N\A
26,2010/01/01,N\A
26,2010/01/17,N\A
26,2010/02/02,N\A
26,2010/02/18,N\A
26,2010/03/06,N\A
26,2010/03/22,N\A
26,2010/04/07,N\A
26,2010/04/23,N\A
26,2010/05/09,N\A
26,2010/05/25,N\A
26,2010/06/10,N\A
26,2010/06/26,N\A
26,2010/07/12,N\A
26,2010/07/28,N\A
26,2010/08/13,N\A
