1,2000/08/28,16,3,8,32,0,0,N\A
1,2000/09/05,96,65,97,64,248,248,N\A
1,2000/09/13,30,7,105,32,248,248,N\A
1,2000/09/21,87,57,32,64,2,8,N\A
1,2000/09/29,39,9,97,64,248,248,N\A
1,2000/10/07,34,8,105,32,248,248,N\A
1,2000/10/15,51,14,105,48,248,248,N\A
1,2000/10/23,46,12,105,48,248,248,N\A
1,2000/10/31,32,8,105,48,248,248,N\A
1,2000/11/08,86,52,32,64,3,9,N\A
1,2000/11/16,37,9,113,32,248,248,N\A
1,2000/11/24,53,15,105,32,248,248,N\A
1,2000/12/02,92,61,97,0,248,248,N\A
1,2000/12/10,89,62,32,8,1,4,N\A
1,2000/12/18,29,7,105,32,248,248,N\A
1,2000/12/26,90,60,40,64,1,6,N\A
1,2001/01/01,89,56,48,72,1,8,N\A
1,2001/01/09,88,52,48,64,2,9,N\A
1,2001/01/17,87,52,8,48,1,4,N\A
1,2001/01/25,16,3,8,32,8,2,N\A
1,2001/02/02,17,4,105,32,248,248,N\A
1,2001/02/10,46,12,105,32,248,248,N\A
1,2001/02/18,89,62,32,64,1,4,N\A
1,2001/02/26,80,42,0,64,6,9,N\A
1,2001/03/06,18,4,105,32,248,248,N\A
1,2001/03/14,90,66,48,32,0,2,N\A
1,2001/03/22,79,42,0,72,6,10,N\A
1,2001/03/30,77,36,0,72,2,2,N\A
1,2001/04/07,92,61,97,8,248,248,N\A
1,2001/04/15,90,66,32,64,0,2,N\A
1,2001/04/23,92,61,97,8,248,248,N\A
1,2001/05/01,88,59,32,32,1,7,N\A
1,2001/05/09,41,10,105,32,248,248,N\A
1,2001/05/17,97,67,97,72,248,248,N\A
1,2001/05/25,86,53,40,32,2,6,N\A
1,2001/06/02,93,61,97,72,248,248,N\A
1,2001/06/10,86,52,32,64,3,10,N\A
1,2001/07/04,89,58,97,64,248,248,N\A
1,2001/07/12,93,62,97,8,248,248,N\A
1,2001/07/20,87,52,40,32,2,6,N\A
1,2001/07/28,83,45,16,72,4,9,N\A
1,2001/08/05,21,5,8,32,13,3,N\A
1,2001/08/13,92,61,97,8,248,248,N\A
1,2001/08/21,89,60,48,64,1,6,N\A
1,2001/08/29,90,65,40,8,0,3,N\A
1,2001/09/06,88,59,32,72,2,7,N\A
1,2001/09/14,88,59,48,64,1,7,N\A
1,2001/09/22,43,10,113,32,248,248,N\A
1,2001/09/30,88,59,48,64,2,7,N\A
1,2001/10/08,67,26,16,64,3,2,N\A
1,2001/10/16,59,18,105,32,248,248,N\A
1,2001/10/24,17,4,105,48,248,248,N\A
1,2001/11/01,89,60,40,32,0,1,N\A
1,2001/11/09,88,59,40,64,2,7,N\A
1,2001/11/17,46,12,105,32,248,248,N\A
1,2001/11/25,85,48,16,64,0,0,N\A
1,2001/12/03,89,62,32,0,1,4,N\A
1,2001/12/11,86,48,8,32,1,4,N\A
1,2001/12/19,23,5,8,32,11,3,N\A
1,2001/12/27,93,61,97,64,248,248,N\A
1,2002/01/01,93,61,97,64,248,248,N\A
1,2002/01/09,89,56,48,64,1,8,N\A
1,2002/01/17,81,40,8,32,6,9,N\A
1,2002/01/25,90,58,48,32,1,5,N\A
1,2002/02/02,88,56,32,8,2,8,N\A
1,2002/02/10,90,66,32,8,0,2,N\A
1,2002/02/18,89,57,97,64,248,248,N\A
1,2002/02/26,9,2,8,32,7,2,N\A
1,2002/03/06,90,66,48,64,0,2,N\A
1,2002/03/14,25,7,8,32,12,3,N\A
1,2002/03/30,90,66,32,8,0,2,N\A
1,2002/04/07,89,62,32,64,1,4,N\A
1,2002/04/15,89,62,40,32,1,4,N\A
1,2002/04/23,94,63,97,64,248,248,N\A
1,2002/05/01,18,4,97,64,248,248,N\A
1,2002/05/09,89,59,48,48,1,6,N\A
1,2002/05/17,90,66,32,64,0,2,N\A
1,2002/05/25,83,44,0,64,4,8,N\A
1,2002/06/02,90,65,32,8,0,1,N\A
1,2002/06/10,72,30,8,32,8,7,N\A
1,2002/06/18,90,66,48,32,0,2,N\A
1,2002/06/26,80,40,16,64,6,9,N\A
1,2002/07/04,14,3,105,48,248,248,N\A
1,2002/07/12,53,17,0,64,12,6,N\A
1,2002/07/20,93,62,97,8,248,248,N\A
1,2002/07/28,79,37,0,64,7,10,N\A
1,2002/08/05,89,63,32,0,1,5,N\A
1,2002/08/13,63,24,0,64,9,6,N\A
1,2002/08/21,90,66,40,0,0,2,N\A
1,2002/08/29,79,36,105,64,248,248,N\A
1,2002/09/06,90,66,40,32,0,2,N\A
1,2002/09/14,89,64,48,32,1,3,N\A
1,2002/09/22,51,14,105,32,248,248,N\A
1,2002/09/30,83,48,48,64,4,8,N\A
1,2002/10/08,90,66,48,8,0,2,N\A
1,2002/10/16,89,62,48,8,1,4,N\A
1,2002/10/24,88,59,48,64,1,7,N\A
1,2002/11/01,89,57,97,64,248,248,N\A
1,2002/11/09,48,13,105,48,248,248,N\A
1,2002/11/17,16,4,105,64,248,248,N\A
1,2002/11/25,92,60,97,8,248,248,N\A
1,2002/12/03,40,11,16,64,10,4,N\A
1,2002/12/11,83,44,8,32,4,7,N\A
1,2002/12/19,26,6,105,32,248,248,N\A
1,2002/12/27,12,3,105,32,248,248,N\A
1,2003/01/01,38,9,105,32,248,248,N\A
1,2003/01/09,92,61,97,8,248,248,N\A
1,2003/01/17,38,9,105,32,248,248,N\A
1,2003/01/25,89,57,48,72,1,7,N\A
1,2003/02/02,83,43,0,32,4,7,N\A
1,2003/02/10,83,43,8,32,3,6,N\A
1,2003/02/18,90,65,32,8,0,1,N\A
1,2003/02/26,84,46,16,64,0,0,N\A
1,2003/03/06,50,17,0,64,8,4,N\A
1,2003/03/14,86,49,0,64,1,4,N\A
1,2003/03/22,79,41,0,64,6,10,N\A
1,2003/03/30,82,45,0,8,4,8,N\A
1,2003/04/07,90,65,48,64,0,1,N\A
1,2003/04/15,32,7,105,48,248,248,N\A
1,2003/04/23,91,60,97,64,248,248,N\A
1,2003/05/01,36,9,105,32,248,248,N\A
1,2003/05/09,36,9,105,32,248,248,N\A
1,2003/05/17,88,59,32,64,1,7,N\A
1,2003/05/25,67,24,113,48,248,248,N\A
1,2003/06/02,49,13,105,32,248,248,N\A
1,2003/06/10,86,49,0,64,2,5,N\A
1,2003/06/18,90,65,32,32,0,3,N\A
1,2003/06/26,89,62,32,64,1,4,N\A
1,2003/07/04,88,49,40,32,2,7,N\A
1,2003/07/12,29,7,105,32,248,248,N\A
1,2003/07/20,27,7,16,32,12,4,N\A
1,2003/07/28,89,61,32,64,1,5,N\A
1,2003/08/05,93,62,113,72,248,248,N\A
1,2003/08/13,69,26,97,64,248,248,N\A
1,2003/08/21,82,46,8,32,4,7,N\A
1,2003/08/29,49,13,105,48,248,248,N\A
1,2003/09/06,9,2,105,48,248,248,N\A
1,2003/09/14,16,4,105,32,248,248,N\A
1,2003/09/22,88,56,48,64,2,8,N\A
1,2003/09/30,88,59,40,64,2,6,N\A
1,2003/10/08,65,23,105,32,248,248,N\A
1,2003/10/16,67,24,105,48,248,248,N\A
1,2003/10/24,90,58,97,72,248,248,N\A
1,2003/11/01,26,6,97,32,248,248,N\A
1,2003/11/09,78,36,0,64,8,8,N\A
1,2003/11/17,89,62,32,0,1,4,N\A
1,2003/11/25,19,4,105,48,248,248,N\A
1,2003/12/03,90,66,32,64,0,2,N\A
1,2003/12/11,87,53,40,32,2,6,N\A
1,2003/12/19,12,3,105,32,248,248,N\A
1,2003/12/27,63,21,113,32,248,248,N\A
1,2004/01/01,94,63,97,64,248,248,N\A
1,2004/01/09,93,61,113,32,248,248,N\A
1,2004/01/17,89,58,113,32,248,248,N\A
1,2004/01/25,7,1,105,32,248,248,N\A
1,2004/02/02,16,4,105,32,248,248,N\A
1,2004/02/10,88,55,32,64,2,7,N\A
1,2004/02/18,91,60,97,8,248,248,N\A
1,2004/02/26,43,11,105,48,248,248,N\A
1,2004/03/05,7,1,105,32,248,248,N\A
1,2004/03/13,85,51,8,64,2,5,N\A
1,2004/03/21,83,47,0,72,3,7,N\A
1,2004/03/29,89,62,32,64,1,4,N\A
1,2004/04/06,90,66,32,64,0,2,N\A
1,2004/04/14,90,65,32,64,0,2,N\A
1,2004/04/22,97,66,97,72,248,248,N\A
1,2004/04/30,42,10,105,48,248,248,N\A
1,2004/05/08,85,48,32,64,4,8,N\A
1,2004/05/16,92,61,97,8,248,248,N\A
1,2004/05/24,94,63,97,0,248,248,N\A
1,2004/06/01,85,52,40,64,4,10,N\A
1,2004/06/09,89,62,32,64,1,4,N\A
1,2004/06/17,30,7,97,32,248,248,N\A
1,2004/06/25,44,11,113,48,248,248,N\A
1,2004/07/03,91,60,105,72,248,248,N\A
1,2004/07/11,93,62,97,0,248,248,N\A
1,2004/07/19,30,7,16,64,11,3,N\A
1,2004/07/27,39,9,113,32,248,248,N\A
1,2004/08/04,89,62,32,72,1,4,N\A
1,2004/08/12,18,4,105,32,248,248,N\A
1,2004/08/20,90,66,32,0,0,2,N\A
1,2004/08/28,81,43,0,64,5,9,N\A
1,2004/09/05,89,61,48,8,1,6,N\A
1,2004/09/13,93,61,113,64,248,248,N\A
1,2004/09/21,44,11,105,32,248,248,N\A
1,2004/09/29,89,62,32,0,1,4,N\A
1,2004/10/07,86,53,48,32,2,6,N\A
1,2004/10/15,35,8,113,32,248,248,N\A
1,2004/10/23,17,4,105,32,248,248,N\A
1,2004/10/31,5,1,8,48,0,0,N\A
1,2004/11/08,26,6,16,32,8,2,N\A
1,2004/11/16,69,25,113,64,248,248,N\A
1,2004/11/24,89,62,40,32,1,4,N\A
1,2004/12/02,37,9,105,32,248,248,N\A
1,2004/12/10,70,27,97,64,248,248,N\A
1,2004/12/18,54,16,113,64,248,248,N\A
1,2004/12/26,73,30,16,64,8,7,N\A
1,2005/01/01,33,8,105,32,248,248,N\A
1,2005/01/09,79,38,0,64,7,10,N\A
1,2005/01/17,90,60,32,8,1,6,N\A
1,2005/01/25,89,62,32,8,1,4,N\A
1,2005/02/02,90,66,32,0,0,2,N\A
1,2005/02/10,21,5,105,32,248,248,N\A
1,2005/02/18,78,36,0,64,6,8,N\A
1,2005/02/26,68,26,0,64,9,7,N\A
1,2005/03/06,45,11,105,32,248,248,N\A
1,2005/03/14,89,62,32,0,1,4,N\A
1,2005/03/22,41,10,105,32,248,248,N\A
1,2005/03/30,89,62,32,72,1,4,N\A
1,2005/04/07,90,66,32,0,0,1,N\A
1,2005/04/15,88,57,32,64,2,8,N\A
1,2005/04/23,31,7,105,64,248,248,N\A
1,2005/05/01,40,10,105,32,248,248,N\A
1,2005/05/09,53,15,105,32,248,248,N\A
1,2005/05/17,36,9,16,64,12,4,N\A
1,2005/05/25,89,62,48,72,1,4,N\A
1,2005/06/02,93,62,97,8,248,248,N\A
1,2005/06/10,69,26,8,64,3,2,N\A
1,2005/06/18,89,60,32,64,1,6,N\A
1,2005/06/26,89,55,48,8,1,4,N\A
1,2005/07/04,90,65,40,0,0,3,N\A
1,2005/07/12,59,18,105,64,248,248,N\A
1,2005/07/20,90,65,48,64,0,2,N\A
1,2005/07/28,90,66,32,8,0,2,N\A
1,2005/08/05,66,24,113,8,248,248,N\A
1,2005/08/13,91,60,97,8,248,248,N\A
1,2005/08/21,90,66,32,0,0,2,N\A
1,2005/08/29,87,58,40,32,2,7,N\A
1,2005/09/06,74,30,97,64,248,248,N\A
1,2005/09/14,83,46,0,72,4,8,N\A
1,2005/09/22,80,40,0,64,2,3,N\A
1,2005/09/30,44,11,113,64,248,248,N\A
1,2005/10/08,90,58,113,72,248,248,N\A
1,2005/10/16,90,65,40,48,0,3,N\A
1,2005/10/24,66,23,105,64,248,248,N\A
1,2005/11/01,96,66,97,72,248,248,N\A
1,2005/11/09,89,62,32,64,1,4,N\A
1,2005/11/17,57,17,97,64,248,248,N\A
1,2005/11/25,79,38,0,64,7,9,N\A
1,2005/12/03,84,44,8,32,3,6,N\A
1,2005/12/11,21,5,105,48,248,248,N\A
1,2005/12/19,44,11,113,64,248,248,N\A
1,2005/12/27,92,60,97,64,248,248,N\A
1,2006/01/01,80,39,16,64,6,9,N\A
1,2006/01/09,26,6,105,48,248,248,N\A
1,2006/01/17,82,41,0,64,5,8,N\A
1,2006/01/25,77,35,0,64,8,9,N\A
1,2006/02/02,93,61,97,64,248,248,N\A
1,2006/02/10,50,13,105,32,248,248,N\A
1,2006/02/18,79,37,16,64,7,9,N\A
1,2006/02/26,89,62,32,64,1,4,N\A
1,2006/03/06,81,40,0,64,6,9,N\A
1,2006/03/14,89,62,48,64,1,4,N\A
1,2006/03/22,38,9,113,32,248,248,N\A
1,2006/03/30,83,46,0,32,1,3,N\A
1,2006/04/07,92,60,105,8,248,248,N\A
1,2006/04/15,84,48,0,64,0,0,N\A
1,2006/04/23,83,47,48,72,4,9,N\A
1,2006/05/01,90,66,32,0,0,2,N\A
1,2006/05/09,37,10,16,32,4,1,N\A
1,2006/05/17,91,60,113,32,248,248,N\A
1,2006/05/25,93,62,113,72,248,248,N\A
1,2006/06/02,93,62,97,0,248,248,N\A
1,2006/06/10,90,65,40,32,0,1,N\A
1,2006/06/18,52,14,105,48,248,248,N\A
1,2006/06/26,90,65,32,32,0,1,N\A
1,2006/07/04,79,36,0,72,1,0,N\A
1,2006/07/12,61,20,113,32,248,248,N\A
1,2006/07/20,5,1,8,64,0,0,N\A
1,2006/07/28,88,59,32,72,2,7,N\A
1,2006/08/05,56,16,97,8,248,248,N\A
1,2006/08/13,83,43,0,72,5,8,N\A
1,2006/08/21,88,56,113,32,248,248,N\A
1,2006/08/29,82,45,16,72,4,8,N\A
1,2006/09/06,90,66,40,32,0,0,N\A
1,2006/09/14,90,66,32,0,0,2,N\A
1,2006/09/22,48,13,113,32,248,248,N\A
1,2006/09/30,62,23,16,72,3,2,N\A
1,2006/10/08,27,6,113,64,248,248,N\A
1,2006/10/16,86,54,32,72,2,5,N\A
1,2006/10/24,89,62,48,8,1,4,N\A
1,2006/11/01,89,62,48,72,1,4,N\A
1,2006/11/09,90,66,32,0,0,0,N\A
1,2006/11/17,84,44,16,32,3,6,N\A
1,2006/11/25,89,62,40,32,1,4,N\A
1,2006/12/03,89,63,32,32,1,4,N\A
1,2006/12/11,28,7,105,48,248,248,N\A
1,2006/12/19,88,59,48,32,1,7,N\A
1,2006/12/27,88,56,113,72,248,248,N\A
