1,34.80833,-98.02325,9,5,2283,1246
1,2013/01/25,805,1757,399,637,2717,2587,1769,1073741824,5419,2420,12254,72,32,2013/02/01
1,2013/02/02,1079,2169,555,872,3228,2999,2065,1073741824,5459,86,9969,72,34,2013/02/03
1,2013/02/10,930,2012,463,763,2834,2953,1945,1073741824,5206,1289,12262,72,41,2013/02/10
1,2013/02/18,877,2134,455,717,2951,2951,1783,1073741824,4636,3405,12366,72,55,2013/02/24
1,2013/02/26,974,2163,456,795,2924,2995,1824,1073741824,4705,1141,-5183,72,59,2013/02/28
1,2013/03/06,879,1899,395,720,2847,2565,1767,1073741824,4380,105,13390,72,66,2013/03/07
1,2013/03/14,961,2207,491,814,3109,2970,2039,1073741824,4048,1344,12719,72,73,2013/03/14
1,2013/03/22,981,2423,467,858,3131,3050,2006,1073741824,3818,2252,-4535,72,84,2013/03/25
1,2013/03/30,1038,2584,480,871,3368,3397,2190,1073741824,3480,1087,-4560,72,91,2013/04/01
1,2013/04/07,643,2123,323,600,2865,2326,1345,1073741824,2755,4938,12432,72,101,2013/04/11
1,2013/04/15,884,2355,434,808,3026,2760,1750,1073741824,2834,1362,13434,72,105,2013/04/15
1,2013/04/23,879,2608,371,814,3259,2921,1789,1073741824,2616,128,12181,72,114,2013/04/24
1,2013/05/01,864,3299,454,915,3654,2944,1587,1073741824,2745,4874,-2820,72,127,2013/05/07
1,2013/05/09,903,2840,451,866,3669,2869,1782,1073741824,2349,2317,-2995,72,132,2013/05/12
1,2013/05/17,734,2646,398,785,3177,2478,1452,1073741824,2135,1178,-3148,72,139,2013/05/19
1,2013/05/25,841,3294,424,884,3846,2795,1545,1073741824,2549,5472,-1796,72,152,2013/06/01
1,2013/06/02,680,2561,370,733,2992,2118,1044,1073741824,1979,1141,-2546,72,155,2013/06/04
1,2013/06/10,838,2855,364,794,3373,2971,1781,1073741824,1855,111,13687,72,162,2013/06/11
1,2013/06/18,909,3150,421,922,3568,3161,1795,1073741824,1975,1133,-2194,72,171,2013/06/20
1,2013/06/26,821,2822,411,817,3251,2739,1639,1073741824,1903,97,15253,72,178,2013/06/27
1,2013/07/04,1049,2915,544,959,3861,3200,1977,1073741824,2086,1160,-2059,72,187,2013/07/06
1,2013/07/12,1172,2907,584,1003,3904,3347,2073,1073741824,2057,61,14743,73,194,2013/07/13
1,2013/07/20,1092,3045,554,1029,3931,3387,2170,1073741824,2282,1179,-2348,73,203,2013/07/22
1,2013/07/28,644,2410,326,630,2861,2487,1429,1073741824,2128,3405,14113,72,215,2013/08/03
1,2013/08/05,843,2787,413,790,3573,2960,1765,1073741824,2333,1318,14186,72,217,2013/08/05
1,2013/08/13,643,3008,340,758,3474,2373,1169,1073741824,2835,2280,-3478,72,228,2013/08/16
1,2013/08/21,773,3228,384,824,3769,2837,1587,1073741824,2913,1115,-3900,72,235,2013/08/23
1,2013/08/29,711,2590,333,711,3646,2515,1421,1075838976,3023,134,11102,72,242,2013/08/30
