1,No Data
2,No Data
3,No Data
4,No Data
5,No Data
6,No Data
7,No Data
8,No Data
9,No Data
10,No Data
11,No Data
id,Date,Daily daytime 1km grid Land-surface Temperature,Quality control for daytime LST and emissivity,Time of daytime Land-surface Temperature observation,View zenith angle of daytime Land-surface Temperature,Daily nighttime 1km grid Land-surface Temperature,Quality control for nighttime LST and emissivity,Time of nighttime Land-surface Temperature observation,View zenith angle of nighttime Land-surface Temperature,Band 31 emissivity,Band 32 emissivity,day clear-sky coverage,night clear-sky coverage,actual_date
1,2000/05/23,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/24,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/25,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/26,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/27,0,2,255,255,14712,145,223,46,240,243,0,1096,N\A
1,2000/05/28,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/29,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/30,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/05/31,0,2,255,255,14669,81,219,12,240,243,0,3580,N\A
1,2000/06/01,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/02,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/03,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/04,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/05,0,2,255,255,14666,81,222,35,240,243,0,2000,N\A
1,2000/06/06,15256,81,119,128,14719,81,229,112,240,243,4000,2000,N\A
1,2000/06/07,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/08,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/09,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/10,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/11,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/12,0,2,255,255,14636,17,223,46,240,243,0,1965,N\A
1,2000/06/13,15296,81,103,2,14681,81,230,118,240,243,3990,1928,N\A
1,2000/06/14,15587,81,111,62,14475,81,221,26,240,243,2000,1957,N\A
1,2000/06/15,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/16,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/17,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/18,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/19,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/20,0,2,255,255,0,2,255,255,0,0,0,0,N\A
1,2000/06/21,0,2,255,255,0,2,255,255,0,0,0,0,N\A
