name,upleftx,uplefty,lowrightx,lowrighty,iv,ih,lon_min,lon_max,lat_min,lat_max,continent
h11v16,,,,,16,11,-180,-175.4671,-70.525,-70,Antarctica
h12v16,,,,,16,12,-180,-146.2226,-73.875,-70,Antarctica
h13v16,,,,,16,13,-180,-116.9781,-77.1583,-70,Antarctica
h14v16,,,,,16,14,-180,-87.7336,-80,-70,Antarctica
h15v16,,,,,16,15,-172.6609,-58.489,-80,-70,Antarctica
h16v16,,,,,16,16,-115.0993,-29.2445,-80,-70,Antarctica
h17v16,,,,,16,17,-57.5376,0.024,-80,-70,Antarctica
h18v16,,,,,16,18,0,57.5856,-80,-70,Antarctica
h19v16,,,,,16,19,29.2445,115.1472,-80,-70,Antarctica
h20v16,,,,,16,20,58.489,172.7089,-80,-70,Antarctica
h21v16,,,,,16,21,87.7336,180,-80,-70,Antarctica
h22v16,,,,,16,22,116.9781,180,-77.1583,-70,Antarctica
h23v16,,,,,16,23,146.2226,180,-73.8667,-70,Antarctica
h24v16,,,,,16,24,175.4671,180,-70.525,-70,Antarctica
h14v17,,,,,17,14,-180,-172.799,-80.4083,-80,Antarctica
h15v17,,,,,17,15,-180,-115.1914,-83.6167,-80,Antarctica
h16v17,,,,,17,16,-180,-57.5837,-86.8167,-80,Antarctica
h17v17,,,,,17,17,-180,59.988,-90,-80,Antarctica
h18v17,,,,,17,18,0,180,-90,-80,Antarctica
h19v17,,,,,17,19,57.6317,180,-86.8167,-80,Antarctica
h20v17,,,,,17,20,115.2394,180,-83.6167,-80,Antarctica
h21v17,,,,,17,21,172.8471,180,-80.4,-80,Antarctica
globe,180,90,-180,-90,0,0,-180,180,-90,90,Global
